YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000000	0.3144271	0.9106789	0.9397859	0.6396331	0.0370141	0.6760440	1.0000000	0.5105397	1.0000000
1.0000000	0.0000000	0.0930814	0.2745617	0.2341561	0.7804880	0.6214766	0.8334372	0.7933791	1.0000000
0.4405154	0.7008666	0.0000004	0.2047659	0.2048338	0.2428583	0.6467346	0.9055138	0.8351887	1.0000000
0.4435631	0.6985810	0.0848947	0.0000005	0.2029549	0.2456298	0.6461843	0.9038337	0.8382839	1.0000000
0.4435641	0.6985823	0.0849012	0.0773375	0.0000006	0.2456321	0.6461844	0.9038336	0.8382860	1.0000000
0.4436523	0.6985137	0.0862139	0.1986515	0.2018835	0.0000015	0.6760415	0.9999977	0.8400198	1.0000000
0.4436645	0.6985022	0.0862929	0.2007458	0.2029020	0.2457026	0.0000000	0.9037874	0.8383693	1.0000000
0.4436514	0.6985113	0.0862137	0.1986497	0.2018833	0.0370151	0.0570397	0.0000026	0.8400170	1.0000000
0.5514042	0.6212124	0.9318290	0.9891772	1.0000000	0.2245295	0.5740257	0.7162307	0.0000000	1.0000000
0.4435832	0.6985670	0.0851388	0.1470643	0.1727156	0.2490977	0.6478290	0.9087952	0.8942255	0.0000000
