"Time"	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W

0	0.0587169	0.0027861	0.7258741	0.3459963	0.5511983	0.6665480	0.0483447	0.3697037	0.4809668	0.2918782
50	0.0977394	0.0012219	0.6637598	0.2419181	0.6551466	0.8976804	0.0433346	0.5362130	0.4396434	0.2195298
100	0.1394102	0.0009950	0.7667580	0.2256033	0.5463619	0.7070637	0.0291931	0.3810815	0.4250487	0.3412394
150	0.1229956	0.0048809	0.7038284	0.2158535	0.4382291	0.7597907	0.0540164	0.4030691	0.4781373	0.2778716
200	0.0646669	0.0104650	0.7275138	0.1274280	0.4896647	0.8419021	0.0065347	0.3216719	0.4460019	0.2698269
250	0.1143554	0.0165117	0.7011530	0.1714728	0.4917616	0.6332475	0.0069544	0.3209954	0.5042265	0.2866138
300	0.1109354	0.0039435	0.6633087	0.1541387	0.6351695	0.5658879	0.0043429	0.3119705	0.4903481	0.2377806
350	0.0710085	0.0115564	0.6606434	0.1674944	0.6077870	0.7064150	0.0014971	0.2316866	0.4865079	0.2827143
400	0.0707648	0.0136578	0.5593462	0.1950194	0.5910816	0.8389339	0.0003299	0.4007091	0.5842563	0.3738806
450	0.0938910	0.0042421	0.6654442	0.1802989	0.5672163	0.8011279	0.0067791	0.2784735	0.4429611	0.2674714
500	0.0861550	0.0015819	0.7747278	0.1833932	0.6410794	0.7333149	0.0035595	0.3255332	0.6098048	0.3065054
550	0.1161479	0.0060315	0.8784431	0.2262951	0.5383821	0.5881241	0.0137027	0.2971441	0.4118655	0.3759803
600	0.1169262	0.0100335	0.6191041	0.2562048	0.5705615	0.7243366	0.0376395	0.2932983	0.4674345	0.2604877
650	0.1229318	0.0017626	0.7301467	0.3325712	0.6457544	0.7069745	0.1190483	0.2869140	0.4820700	0.2644524
700	0.0777894	0.0023289	0.5448473	0.2987509	0.5933706	0.7395468	0.0562288	0.4170403	0.4311463	0.2714255
750	0.0734213	0.0006380	0.7269897	0.3930094	0.5815137	0.6180398	0.0579490	0.3247032	0.3733736	0.3403638
800	0.0678612	0.0019314	0.5890670	0.3170133	0.5941827	0.7109739	0.0572857	0.2720878	0.4598048	0.2399977
850	0.0697952	0.0022366	0.6447298	0.4188441	0.6054640	0.6728153	0.0479050	0.2655917	0.4101914	0.2846256
900	0.0934133	0.0021140	0.5580986	0.3767040	0.5429654	0.8066629	0.0809958	0.2458879	0.4230306	0.3046868
950	0.0936178	0.0078049	0.6636322	0.3342304	0.5557960	0.5633498	0.0653947	0.3367912	0.4140527	0.2797201
1000	0.1093985	0.0099222	0.6620949	0.2990406	0.5769771	0.5526309	0.0622649	0.3375805	0.5224691	0.3203569

0	0.0532914	0.0009739	0.6198840	0.3804688	0.6575728	0.7827569	0.0683546	0.3397842	0.4716584	0.2510984
50	0.1087846	0.0007061	0.6052190	0.4117605	0.5967572	0.7432887	0.0617513	0.2734323	0.4780750	0.2382788
100	0.1016983	0.0007119	0.5891366	0.4813360	0.4149504	0.6561109	0.0772421	0.2728118	0.3929436	0.3235574
150	0.1007945	0.0051372	0.7205000	0.2951353	0.5035023	0.5909148	0.0576699	0.2481223	0.3847389	0.2971299
200	0.1033847	0.0050136	0.5271530	0.3623585	0.4518739	0.6877279	0.1057755	0.2673723	0.5332718	0.2848399
250	0.0747076	0.0088926	0.6208602	0.4053791	0.4945466	0.7608131	0.0922809	0.3771371	0.6550390	0.3271272
300	0.1375745	0.0117170	0.5802524	0.3095521	0.4746222	0.6602284	0.0637157	0.2425274	0.5615194	0.3312658
350	0.1243557	0.0087564	0.6594422	0.4097171	0.5277593	0.6093261	0.0541373	0.2577659	0.4849168	0.3522592
400	0.0886153	0.0026969	0.6198391	0.4376081	0.5477355	0.6587530	0.0589340	0.3088213	0.5661865	0.3873741
450	0.1074615	0.0020749	0.5748215	0.4018289	0.5091754	0.8319560	0.0584392	0.3055936	0.4431265	0.3794659
500	0.0766617	0.0060922	0.7697930	0.4016369	0.6128301	0.7763340	0.0473027	0.3017106	0.4649600	0.3662620
550	0.0759030	0.0011876	0.7675855	0.3427677	0.5106694	0.7694160	0.0803903	0.2842413	0.5810382	0.2359544
600	0.1238782	0.0004440	0.6797393	0.3831518	0.6809795	0.7401626	0.1050602	0.3020341	0.4455555	0.2892870
650	0.1009980	0.0009055	0.6299955	0.3478778	0.6367533	0.8251116	0.0633581	0.2770500	0.5223749	0.3241061
700	0.0635443	0.0007985	0.7216933	0.3003559	0.5655139	0.7664330	0.0619660	0.2301992	0.3859148	0.2882113
750	0.0792278	0.0045746	0.6289550	0.3213993	0.4908763	0.7679789	0.0788387	0.2279061	0.5068590	0.3422818
800	0.0527278	0.0011856	0.6647503	0.3244226	0.5273018	0.8392265	0.0858176	0.2763216	0.5378988	0.2745171
850	0.1129808	0.0051277	0.6834340	0.3305030	0.7214198	0.8944555	0.1134072	0.2017822	0.3826276	0.2782350
900	0.1018622	0.0023888	0.6178890	0.3654062	0.7595951	0.7985439	0.0677187	0.3375280	0.5032945	0.3149894
950	0.0650129	0.0104460	0.5494417	0.4377531	0.4940574	0.7150855	0.0404706	0.3600951	0.4829190	0.2548393
1000	0.1317433	0.0005633	0.6449268	0.4052813	0.5719609	0.6518565	0.0376793	0.2435335	0.4043643	0.3771888

0	0.0675579	0.0009007	0.6702827	0.3054367	0.5374735	0.7347451	0.0484333	0.2789808	0.4363779	0.1995426
50	0.1138766	0.0091617	0.5250104	0.3632735	0.5579461	0.8423946	0.0930237	0.2273579	0.5031626	0.2179566
100	0.1437476	0.0111761	0.5789348	0.3032410	0.6458249	0.6688956	0.0409452	0.2763772	0.5168259	0.2953131
150	0.1397943	0.0037557	0.6736899	0.4787662	0.6272932	0.7591819	0.0664792	0.2521586	0.5278032	0.3800747
200	0.1022362	0.0023616	0.5307119	0.4031484	0.4804727	0.7551808	0.0735033	0.3050124	0.5077792	0.3676937
250	0.0781085	0.0051714	0.6767183	0.3854124	0.4537510	0.7036287	0.0797274	0.3091005	0.4174426	0.3257026
300	0.0876772	0.0036602	0.6787175	0.5277822	0.5323216	0.5073110	0.0944723	0.3121922	0.3725616	0.2637100
350	0.0815087	0.0007718	0.4932458	0.3813588	0.5058508	0.7278768	0.0608143	0.3034016	0.4663668	0.3309159
400	0.0461105	0.0251233	0.5705614	0.3771451	0.4929824	0.6574099	0.0817075	0.2923729	0.4607492	0.3467568
450	0.0836776	0.0024271	0.7513340	0.4518018	0.5783680	0.7553023	0.0757132	0.2450865	0.5828613	0.2758507
500	0.0893671	0.0024407	0.7018259	0.3145411	0.5320301	0.7877743	0.0458293	0.2430146	0.5181770	0.2942165
550	0.0459835	0.0027757	0.5668590	0.4373881	0.6423995	0.5731730	0.0499639	0.3077472	0.4500228	0.2811859
