YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W
0.0000000	0.0657686	0.0647251	0.9263965	0.9272694	0.9874947	0.0615526	1.0100481	0.0461286	0.9926730
1.0131236	0.0000000	0.0687894	0.8143389	0.9259402	0.9860300	0.0414152	1.0459304	0.0322774	1.0103938
0.2446877	1.0313801	0.0000000	0.7839864	0.9038253	0.8533416	0.6451914	0.9875696	0.0412301	1.0324339
0.9764725	0.0009674	1.0196751	0.0000000	0.9019469	0.9976694	0.0231913	1.0146086	0.0309257	0.9988840
0.9780214	0.0358965	0.0493395	0.6772315	0.0000000	1.0008612	0.0551027	0.9803995	0.0502764	1.0068167
1.0188101	0.0001539	0.9411827	0.0022088	0.0538740	0.0000000	0.0488987	1.1641043	0.0536518	1.0550636
1.0612555	0.0178068	0.0675056	0.9055567	0.9265196	1.0021848	0.0000000	1.0002545	0.0647963	1.0112020
0.8640839	0.0308694	0.0603572	0.7803815	0.8833517	0.9857200	0.0599351	0.0000000	0.0397826	0.9838139
1.0780157	0.0322930	0.0714809	0.8173373	0.9355587	1.0270641	0.0398423	1.1103276	0.0000000	0.9772546
1.0706910	0.0488019	0.0501995	0.9136630	0.9375575	0.9135388	0.6592785	0.2862739	1.0064686	0.0000000
