YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0891466	0.3981780	0.5814382	0.4537675	0.6321518	0.1686266	0.1025759	0.0845224	0.0750089	0.2595930
0.0532678	0.3422598	0.5541928	0.4610306	0.7400748	0.0829939	0.0545948	0.0543267	0.0557161	0.1727374
0.1059896	0.0368953	0.2421246	0.3799032	0.7315587	0.1022173	0.0786188	0.0558864	0.0791351	0.2028736
0.0707129	0.0493307	0.3111101	0.2001166	0.7902657	0.1100643	0.0854565	0.0549393	0.0054184	0.0810367
0.3920754	0.7362748	0.6743117	0.7684385	0.3849783	0.2151914	0.1625015	0.3080788	0.5620388	0.4878982
0.1026366	0.3738312	0.5681277	0.5230566	0.9232702	0.0392144	0.1013348	0.0779737	0.0505138	0.2205464
0.1342815	0.2781733	0.4691946	0.5111118	0.7072500	0.1150580	0.0535645	0.1045894	0.0141537	0.1349608
0.0288522	0.3129162	0.4632499	0.4243328	0.6491947	0.0916485	0.0717857	0.0544093	0.1197322	0.2997769
0.1304405	0.3333055	0.5512924	0.5396424	0.7816212	0.1140055	0.1007886	0.0335220	0.0400226	0.3089284
0.0856336	0.4208157	0.6200514	0.5443400	0.8177181	0.0785876	0.0807823	0.0537664	0.0162385	0.1481115
