YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.3537113	1.0000000	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
0.4525481	0.5000017	1.0000000	0.0440464	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
0.7073422	1.0000000	0.5000000	0.9774948	0.9999887	0.0480532	0.0438777	0.9516830	0.7753537	0.4038275
0.7073422	1.0000000	1.0000000	0.0220234	0.9999957	0.0479694	0.0436988	0.9750414	0.9999624	0.0271671
0.7073422	1.0000000	1.0000000	0.0440464	0.4999985	0.0479694	0.0436988	0.9750414	0.9999624	0.0271697
0.7073422	1.0000000	1.0000000	0.0440464	0.9999957	0.0239849	0.0436988	0.9750414	0.9999624	0.0271697
0.7073422	1.0000000	1.0000000	0.0440464	0.9999957	0.0479694	0.0218498	0.9750414	0.9999624	0.0271697
0.7073422	1.0000000	1.0000000	0.0440464	0.9999957	0.0479694	0.1043331	0.4875212	0.9999624	0.0271697
0.7073422	1.0000000	1.0000000	0.0440464	0.9999406	0.0484269	0.0450321	0.8569320	0.4999846	0.0271697
0.7073422	1.0000000	1.0000000	0.0429858	0.9999957	0.0479694	0.0436988	0.9750435	0.9999961	0.0135850
