YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0042164	0.5511289	0.3474154	0.8469979	0.9011053	0.6654817	0.3791374	0.5787813	0.4857459	0.2999534
0.1272883	0.3099344	0.4906456	0.8549068	0.7501933	0.6259121	0.4780570	0.5558853	0.5161806	0.2802070
0.0414662	0.4510824	0.2481156	0.7802787	0.6217720	0.5861129	0.4639757	0.5690942	0.5145275	0.3568633
0.0327303	0.3347845	0.1003157	0.3926149	0.7381595	0.5832466	0.5960449	0.6312580	0.6667165	0.2958570
0.0027985	0.6057485	0.5224928	0.9003367	0.3445376	0.4658160	0.4448263	0.5583046	0.3934078	0.3532218
0.0074606	0.4855819	0.3429274	0.7469975	0.8287715	0.2808786	0.1892444	0.7110445	0.5237060	0.3239236
0.0208451	0.4943176	0.3089751	0.8607880	0.7237711	0.5660517	0.1864853	0.6619858	0.4162627	0.2830277
0.0174299	0.6183651	0.3360576	0.7152460	0.6693444	0.4615276	0.6585472	0.3826799	0.3474145	0.4429319
0.0064290	0.5897429	0.3953161	0.6617429	0.6687387	0.4631368	0.3819624	0.6617506	0.2563594	0.3766272
0.0136244	0.5414784	0.4006318	0.8244749	0.7373536	0.5301955	0.3775798	0.7526632	0.6394175	0.1440081
