"Time"	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C

0	0.6964569	0.6425206	0.6408870	1.0498387	1.1023944	1.0586629	0.9570906	0.9812542	1.0101027	0.9637649
50	0.5707085	0.7921265	0.5699434	0.9007330	0.9174876	0.8884718	1.0104515	1.0057825	0.9117470	1.0260009
100	0.5303704	0.8419072	0.4666501	0.9471507	1.0448984	0.8835056	1.0327172	0.9301232	0.9463503	1.0501271
150	0.4237353	0.8605141	0.5616679	0.9244436	1.1010360	0.9183217	1.0431354	0.8479590	0.9959490	1.0877063
200	0.3660047	0.8700170	0.5422996	1.0108122	1.0443243	0.8719591	0.9667588	1.0923811	1.0113935	1.0831147
250	0.3595270	0.9097011	0.5969565	0.9309936	1.0235855	1.0621078	0.9237020	1.0682632	0.9685041	0.9850278
300	0.3807396	0.8003259	0.5973167	1.0808356	1.0766450	1.0562875	0.9007324	1.0429531	0.9507877	1.1113618
350	0.3484042	0.8501745	0.5854909	0.9975975	1.0186365	1.0344594	0.9120550	0.9564586	0.9549887	1.0995120
400	0.3556249	0.9707767	0.6245666	1.1095051	0.9747262	1.1009802	0.9849205	1.1695898	0.8877182	1.1071672
450	0.3302460	0.9820506	0.6478954	1.0812153	0.9431487	1.0290066	1.0455107	0.9848538	0.9318788	1.0206249
500	0.2045284	0.8898803	0.6042711	1.0536576	0.9492950	1.0620541	1.0267975	0.8921163	1.0047913	0.9610750
550	0.2648080	0.8070849	0.5692751	1.1241282	0.9690754	1.0014880	1.1022935	1.0259973	1.0116147	0.9466352
600	0.3448926	0.6971630	0.5997419	1.1937779	1.0288164	0.9854383	1.0092670	1.0488918	1.0577772	0.9367758
650	0.4572476	0.6505803	0.5656115	1.0861112	0.9420685	0.9951655	1.0166694	1.0672696	1.1093202	0.9987444
700	0.5727931	0.5964337	0.6122486	0.9367011	0.9716492	1.0176332	0.9189604	1.0801470	1.0746075	1.0659057
750	0.6081154	0.6049176	0.5590825	1.0611252	0.8448120	1.0365170	0.9082736	1.0798394	0.9949389	1.0201938
800	0.6557845	0.6828143	0.5819667	0.9634362	0.9235839	0.9300634	1.0665705	1.0016711	1.0197705	1.0564458
850	0.5741496	0.6172442	0.5595944	0.9924159	1.0106266	0.8709059	0.9190044	1.0362946	1.1528363	1.0738199
900	0.6184265	0.5865780	0.5372426	0.9000119	1.0115769	0.8845371	0.8945379	0.9439701	0.9192869	1.0945127
950	0.6146529	0.5327451	0.6151810	1.0420041	0.9149357	0.9664527	0.9905792	1.0813671	1.0753164	1.0903643
1000	0.7400040	0.6143886	0.5448824	1.1666964	0.9205210	0.9933802	1.0499094	1.0254799	0.9630487	1.0334824

0	0.6964569	0.6425206	0.6408870	1.0498387	1.1023944	1.0586629	0.9570906	0.9812542	1.0101027	0.9637649
50	0.4337222	0.6460813	0.5604364	1.0399779	0.9888709	0.9031785	1.0256585	1.0154080	0.9791388	1.0758989
100	0.4054754	0.7259949	0.5839552	0.9926733	1.0095279	0.9258973	0.9281587	1.0046592	0.6936482	1.0427882
150	0.4342869	0.6512630	0.5729136	0.9430370	1.1118413	1.0062774	1.0653718	0.9044425	0.7354887	1.0610748
200	0.3739284	0.6921707	0.6024942	0.9715012	1.0499448	1.0294405	1.0792767	1.0199864	0.5674852	1.0314609
250	0.4825179	0.6298970	0.6595921	0.9046169	1.0202443	0.9035293	1.0880638	1.1203798	0.5689330	0.9880568
300	0.5124076	0.6023375	0.5164858	1.0163904	1.0057561	0.9085353	0.9691026	1.0175840	0.5203657	0.8681770
350	0.4840774	0.6342824	0.5883928	1.0510606	0.9846433	0.8994304	1.0397422	0.9836978	0.5033083	0.8725303
400	0.5327065	0.5635236	0.5089841	1.0424999	0.9860038	0.9361989	1.0217848	0.9310745	0.4555768	0.8655079
450	0.5863681	0.5370771	0.5602413	0.9230390	0.9975137	1.0599404	1.0854738	0.9886025	0.4811866	0.8999822
500	0.6309529	0.5568531	0.4936464	1.0621672	0.8927716	0.9594940	1.0774909	0.8987473	0.5039286	1.0015948
550	0.5846932	0.5701384	0.5891465	0.8903756	0.9650708	1.0408784	1.0328151	0.9388758	0.6016387	0.9830662
600	0.7209628	0.5674629	0.5949817	0.9864504	0.9659361	0.9366271	0.9787377	0.9271000	0.8162329	0.9378894
650	0.6171670	0.6064434	0.5230940	1.0151554	0.9816802	0.9672668	0.8175019	1.0222764	0.9474901	1.0269683
700	0.7222373	0.6176076	0.5316057	0.9546531	0.9163253	0.9863451	0.8185253	0.9328868	1.0176406	1.0678988
750	0.6986332	0.5687485	0.5634371	1.0599071	0.9704138	0.9892745	0.8853209	1.0368134	1.0249613	1.0876912
800	0.6628438	0.6388709	0.6024192	1.0320131	1.0694248	1.0529287	0.9890718	1.1168788	0.9278356	1.0630698
850	0.6462380	0.5940500	0.5576359	1.0753274	1.0337317	0.9874419	1.0883953	1.0288956	1.0355771	1.1160522
900	0.5885193	0.6371170	0.6076514	1.0893486	1.0286124	1.0036852	1.0699463	1.0211371	1.0224520	1.1568304
950	0.6495826	0.6428947	0.6050739	1.0440757	1.0003895	0.9372327	1.0254173	1.1093023	1.0333545	1.1452699
1000	0.6255633	0.6994363	0.6465445	0.9971636	1.0165728	0.9098599	0.8765079	1.0870890	1.0329259	1.0755760

0	0.6964569	0.6425206	0.6408870	1.0498387	1.1023944	1.0586629	0.9570906	0.9812542	1.0101027	0.9637649
50	0.6216079	0.5487376	0.6817016	1.0677996	0.9961078	1.0927958	0.9689542	0.8528992	0.9406038	0.9210650
100	0.6998677	0.6583727	0.5539309	1.0566040	0.9962198	1.1769658	0.8865517	0.7600857	0.9647232	0.9624701
150	0.6340780	0.5482155	0.6115332	0.9910511	0.9425306	1.0986646	0.9493778	0.8648349	1.0101791	1.0379096
200	0.7231321	0.5769711	0.7542080	0.9866469	1.0904721	1.0071753	0.9429165	0.7377090	0.9795188	0.9620552
250	0.6650037	0.8224729	0.6624554	0.8673561	1.0169453	0.9905178	0.9782881	0.8931301	0.9587992	1.0624859
300	0.5524762	0.7942874	0.6086560	0.9349403	0.9774674	0.9905529	0.9385113	0.7328933	0.9066283	1.0581808
350	0.4615935	0.7441775	0.5769989	0.9633336	0.9615339	1.0291643	0.9759083	0.7698736	0.8951099	1.0149370
400	0.4374113	0.6724201	0.5958095	0.9453645	1.0119118	1.0719668	1.0222257	0.7506571	1.0445146	1.0690894
450	0.4052149	0.6834505	0.5123060	0.8930089	1.1017111	0.9920227	1.0248399	0.8154096	0.9771593	1.0535999
500	0.5260324	0.6513051	0.5026483	0.8898208	1.1288631	0.9992642	0.9714356	0.6991781	1.0337184	0.9633968
550	0.5520641	0.6250085	0.5828018	1.0288432	0.9320991	0.8319856	0.9527321	0.8148133	1.0526384	1.0363614
600	0.5875409	0.6043962	0.5683628	1.1000168	0.9978571	0.8828864	1.0278798	0.8662144	1.1194661	1.0970041
650	0.6169813	0.5942203	0.5263348	0.9873400	0.9655851	0.8882615	1.0567394	0.9333571	1.0217970	0.9756860
700	0.7179477	0.5426006	0.5390898	1.0215854	0.9666017	0.9618520	0.9923332	0.9596502	1.0129081	0.9911631
750	0.6541420	0.5443305	0.6346726	0.9531852	1.0037005	1.0885580	0.9749939	0.9251985	1.0650814	1.0593740
800	0.7256631	0.6395344	0.6304753	0.9033435	0.9083810	1.0096427	0.9997035	0.8504177	1.0827483	1.0456565
850	0.6871368	0.6409107	0.5600142	0.9197084	0.9828142	1.0099972	1.0569670	0.9547184	0.8885287	0.9533553
900	0.5979333	0.6708780	0.4790750	1.0405093	0.9686689	1.0499123	1.0214772	1.0137466	1.0957376	1.0239040
950	0.5786769	0.6745639	0.5135933	0.9042933	0.9522709	1.0474659	0.9916029	1.0916056	1.0763902	0.9865979
1000	0.6103472	0.6015300	0.5068241	0.9509141	0.9634420	0.9591666	0.9361321	1.1178772	1.0891699	1.0290843

0	0.6964569	0.6425206	0.6408870	1.0498387	1.1023944	1.0586629	0.9570906	0.9812542	1.0101027	0.9637649
50	0.5223215	0.6702726	0.6402092	0.9686746	0.9489014	1.0216115	0.9042988	0.6094256	1.0274898	1.0435777
100	0.5484071	0.6659016	0.5770280	0.7969637	0.8465801	1.0573300	0.9846699	0.3417896	1.0612524	1.0844453
150	0.5199393	0.6554520	0.5418660	0.8119185	0.7789036	0.9781577	0.9016917	0.2711438	0.9480170	1.0882222
200	0.5692811	0.6053227	0.4578808	0.8175875	0.7723032	0.9221139	0.9740814	0.1490346	0.8936569	1.0711273
250	0.6518939	0.4823414	0.3837809	0.8241415	0.8236123	1.0494577	1.0848257	0.1770253	0.8851902	0.9956417
300	0.6895221	0.4465144	0.4799745	0.8063493	0.7917564	1.0331247	0.9897603	0.1978573	0.8783346	0.9978519
350	0.8405389	0.4580846	0.4650832	0.9134291	0.8246491	0.9402098	1.0146944	0.2045453	0.8760993	0.9933424
400	0.8815445	0.4975025	0.5709408	0.8353967	0.9030260	0.9172116	1.0020350	0.1960749	0.9055810	0.9300669
450	0.7845495	0.5502236	0.5391242	0.8293472	0.8180591	0.8979766	1.0125985	0.2230061	0.9103927	0.9584003
500	0.7171071	0.5886126	0.5246555	0.8636432	0.7865650	1.0779196	1.0702461	0.1945319	0.8259452	0.9409245
550	0.7399347	0.6654802	0.5282119	1.0144056	0.8474617	1.0531096	1.1221733	0.5649100	0.9585895	0.9629437
600	0.6680239	0.6739980	0.5824742	0.8473061	1.0327465	1.0517176	1.0483255	0.7562086	0.9799696	1.0770964
650	0.5859750	0.6074901	0.6271798	0.8978873	1.0787802	0.9853837	0.9002823	0.8898579	1.0236094	1.1062842
700	0.6039561	0.6360697	0.6677400	0.9805007	1.0407370	1.0100135	0.8625265	1.0464544	1.0032919	1.0032183
750	0.5417487	0.6723118	0.5741393	0.9848334	0.9576264	1.1857569	0.8574341	1.1232363	1.0349741	0.9824846
800	0.5366266	0.6272292	0.5605911	0.9645328	1.0049437	1.1785949	0.9327985	1.0197164	0.8663343	1.0092560
850	0.6599599	0.5698071	0.5677471	1.0166212	0.9559001	1.0183155	1.0347371	1.1093941	0.9192411	1.1134016
