YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.2082793	0.3688312	0.0211791	0.0592312	0.9996008	0.7696274	0.7521971	0.5749470	0.9982314	1.0000000
0.7252108	0.3629825	0.2345029	0.0592611	0.9304528	0.3083468	0.2991609	0.5448285	0.9973456	1.0000000
0.0895404	0.6004025	0.0022840	0.0149875	0.8612345	0.2345185	0.2534939	0.5413313	0.9431564	0.9187464
0.0214248	0.3170861	0.0741169	0.0044651	0.9758038	0.8451697	0.8168153	0.7074286	0.9962914	0.9552717
0.0946007	0.3545699	0.0354303	0.0000381	0.9994861	0.7790556	0.7723351	0.5718500	0.9977296	1.0000000
0.2380804	0.6080015	0.2385433	0.0593278	0.8505063	0.2465017	0.2609395	0.5448150	0.9973167	1.0000000
0.1912084	0.0000275	0.0211791	0.0592312	0.9997237	0.8508040	0.8924289	0.6108491	0.9967161	1.0000000
0.1520886	0.4152233	0.0211840	0.0592398	0.9756302	0.7780145	0.7700311	0.6093233	0.9970721	1.0000000
0.1102271	0.4467963	0.3150387	0.0000878	0.9069152	0.2818123	0.2649735	0.5441716	0.9959470	0.8654318
0.3357010	0.8405058	0.3053810	0.0463648	0.9978544	0.9378193	0.8375424	0.5678098	0.9950057	0.7351665
