"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
400	0.7087156	0.7511331	0.6094094	0.4814422	0.5001779	0.4013177	0.0540853	0.4029799	0.7728666	0.2025492
450	0.4869582	0.7374201	0.8277319	0.7558700	0.5636107	0.4051485	0.0443251	0.4299356	0.7985670	0.1339882
500	0.6173132	0.7751318	0.8061761	0.6682349	0.5782425	0.2774829	0.0294413	0.3895485	0.6933752	0.0720325
550	0.7116853	0.6661451	0.7358728	0.5860494	0.7417300	0.3720143	0.0517701	0.4945104	0.6757133	0.1066204
600	0.6425257	0.6472308	0.5347977	0.5442130	0.6378072	0.3619047	0.0230383	0.4714549	0.7229832	0.0758292
650	0.5205952	0.6631336	0.4405152	0.5769341	0.6466125	0.1998788	0.0279621	0.5191915	0.7856797	0.1132032
700	0.5183004	0.6056332	0.4390567	0.4685001	0.6204455	0.2352463	0.0546637	0.5098943	0.6690917	0.1194390
750	0.4942090	0.6206010	0.3230432	0.5007851	0.5819049	0.2162983	0.0612680	0.4760913	0.7679430	0.1366370
800	0.4363186	0.6383131	0.2889272	0.6647329	0.4659866	0.2414248	0.0295518	0.4337550	0.8950018	0.2378591
850	0.4027997	0.4617709	0.3194122	0.6262563	0.7935350	0.1759242	0.0204579	0.5362326	0.7355146	0.1922604
900	0.5093538	0.6423255	0.3473747	0.5225271	0.5887865	0.1393455	0.0340073	0.4411891	0.7184099	0.2387519
950	0.4271461	0.5509576	0.2502405	0.4914135	0.7277439	0.1028471	0.0528470	0.4123499	0.7428708	0.1841716
1000	0.3719296	0.5511864	0.2431271	0.4071759	0.7657691	0.0716220	0.0579347	0.3996235	0.6937318	0.2067254

0	0.2402785	0.2282825	0.0930470	0.2724406	0.6960411	0.0602619	0.0285025	0.4051478	0.7349859	0.6320719
50	0.3535111	0.3000871	0.1144248	0.1830383	0.7379127	0.0585924	0.0151310	0.3602041	0.7645841	0.7524248
100	0.3177589	0.3060054	0.0622875	0.0606797	0.7664418	0.0703088	0.0077751	0.3853494	0.6304465	0.6330232
150	0.3465605	0.2167932	0.0397001	0.0538358	0.7202000	0.0748030	0.0010189	0.4311746	0.6629666	0.6305327
200	0.3093704	0.1581796	0.0406767	0.0490049	0.8296599	0.0362144	0.0021437	0.4561357	0.7758499	0.7032227
250	0.3590361	0.0920892	0.0325972	0.0419598	0.8288753	0.0455656	0.0004055	0.4148191	0.7564131	0.6483375
300	0.3035172	0.0821032	0.0522543	0.0415379	0.9211481	0.0163447	0.0030565	0.4628770	0.7514859	0.6869977
350	0.2777272	0.0946551	0.0320718	0.0514214	0.8107905	0.0254271	0.0063912	0.3485522	0.8049624	0.7132553
400	0.2147174	0.0743268	0.0467886	0.0515589	0.7893045	0.0204282	0.0031025	0.5488257	0.8416058	0.6498620
450	0.3119108	0.0631335	0.0314721	0.0497232	0.6084535	0.0220788	0.0005564	0.3637185	0.7280845	0.9771009
500	0.2980471	0.0431670	0.0192130	0.0277153	0.7547734	0.0169220	0.0004197	0.4518183	0.6635077	0.9573440
550	0.1900623	0.0310030	0.0369256	0.1807495	0.6655328	0.0162159	0.0158748	0.3879680	0.7481037	0.7819607
