YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.1098074	0.6191648	0.4719927	0.0588640	0.0883433	0.3367181	0.9917267	1.0038572	0.0015300	0.9755876
0.0547162	0.3470184	0.4729926	0.0513041	0.0734648	0.4126455	0.9238508	0.9796842	0.0003678	1.0112614
0.1896272	0.6276099	0.2494418	0.0633070	0.1323264	0.3994208	0.9949891	0.9841150	0.0025467	1.0568016
0.2729696	0.5975201	0.4433883	0.0293817	0.0777064	0.3631135	1.0984251	0.9615701	0.0005602	0.9907933
0.1842784	0.5686727	0.5748874	0.0722428	0.0505254	0.4377512	1.0445652	1.1011525	0.0027095	1.0591595
0.1947388	0.5474649	0.4214669	0.0455642	0.0989775	0.1871996	1.0065326	1.1032760	0.0019647	1.0884822
0.1967898	0.6537866	0.4834283	0.0458469	0.0869073	0.7416067	0.5588842	1.0339130	0.0021131	0.9680189
0.1192678	0.4440950	0.2044874	0.0745929	0.1077414	0.4446312	0.9277905	0.4834072	0.0037543	1.0515939
0.2042401	0.5650511	0.4325581	0.0392313	0.1193383	0.3793867	0.9739940	1.0076972	0.0002198	0.9413886
0.2015370	0.6471978	0.4717803	0.0406654	0.1640821	0.3759938	1.0888134	0.9858582	0.0033710	0.4774000
