YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.0000000	0.2327713	0.7480578	0.4637997	0.5769541	0.4150870	0.3318151	0.6226146	0.0670256	0.7328886
0.0568465	0.0000000	0.5215514	0.4534907	0.6734480	0.4584425	0.3694726	0.2875246	0.2752426	0.5875818
0.5934988	0.8506956	0.0000000	0.4785674	0.4322355	0.4708643	0.1571348	0.6549487	0.0318584	0.6653743
0.0550772	0.2598873	0.7835759	0.0000000	0.5462770	0.6291662	0.2686701	0.5644989	0.1051711	0.7254800
0.0395277	0.2779927	0.6456732	0.0645952	0.0000000	0.5846129	0.2815749	0.6861295	0.0303758	0.6748393
0.0249598	0.1665237	0.7312865	0.6518156	0.6470944	0.0000000	0.2796414	0.7265892	0.1031955	0.6043025
0.0309450	0.2389276	0.7400625	0.2156015	0.2856702	0.7229241	0.0000000	0.6701647	0.0311692	0.7364993
0.5554161	0.7097598	0.1347877	0.4269936	0.7785887	0.3819913	0.5996587	0.0000000	0.7615769	0.6883598
0.0856838	0.3149887	0.6911538	0.4737666	0.4792677	0.5016552	0.2500267	0.6639099	0.0000000	0.7940088
0.1958322	0.3805183	0.3642104	0.1286411	0.6224246	0.5276067	0.3525966	0.4728469	0.6937703	0.0000000
