YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W
0.6943261	0.3257480	0.1217017	1.0000000	0.4620523	0.5576098	0.4351903	0.0026010	0.7544619	0.2428354
0.4003784	0.4243316	0.1131060	1.0000000	0.5254071	0.6481146	0.3318956	0.0062618	0.4516029	0.4251084
0.5236687	0.0166383	0.0163005	0.9986328	0.5879968	0.6862385	0.1989679	0.0277022	0.5198868	0.3360967
0.7137469	0.1885817	0.0802174	1.0000000	0.4150187	0.3669514	0.3766025	0.0028797	0.3900720	0.4760040
0.2993456	0.4931932	0.1897119	0.8117159	0.4776032	0.6019314	0.3816552	0.0358962	0.5687301	0.3477013
0.7684242	0.1991711	0.1129753	1.0000000	0.5024432	0.6158780	0.3667134	0.0241836	0.4392358	0.4355315
0.5317222	0.4900805	0.1124025	1.0000000	0.4620523	0.5576098	0.4351903	0.0045244	0.3667114	0.4972356
0.9042950	0.0000158	0.0028962	1.0000000	0.4620277	0.5295465	0.4350658	0.0238280	0.7133143	0.2222738
0.7531413	0.2741628	0.1324146	0.9545432	0.4296857	0.6213089	0.3605541	0.0260443	0.5014435	0.2891377
0.2852737	0.8025604	0.3276582	0.7411699	0.4586082	0.3658058	0.4306375	0.0340384	0.9522333	0.1107122
