YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.0000000	0.2530699	0.7860719	0.2617314	0.0408459	0.2751977	0.6391204	0.6938946	0.0213584	0.0743602
0.7130261	0.0000000	0.7193207	0.4653176	0.1471430	0.7721564	0.0092600	0.7321619	0.5698849	0.5317046
0.1371358	0.7663080	0.0000000	0.3737295	0.0522975	0.1318940	0.6102138	0.6833792	0.0111217	0.0672758
0.5103130	0.3301130	0.6569938	0.0000000	0.0277496	0.2827758	0.5361315	0.7446741	0.0196589	0.0447153
0.5233262	0.2985345	0.8391434	0.4709823	0.0000000	0.2189297	0.6597266	0.6064472	0.0028019	0.0630512
0.4281746	0.3563851	0.5842622	0.5069595	0.0347421	0.0000000	0.6074631	0.8017445	0.0320275	0.0403899
0.6521961	0.2695425	0.7757267	0.3056769	0.1056136	0.6639140	0.0000000	0.7021353	0.5976674	0.6245520
0.5411962	0.3266518	0.8675504	0.4158081	0.1154161	0.1633387	0.6172731	0.0000000	0.0258577	0.0643378
0.4872573	0.3182617	0.8305913	0.3698446	0.0685320	0.2112498	0.6353452	0.6287057	0.0000000	0.0810013
0.5624166	0.2394892	0.7226565	0.3730213	0.1204156	0.2295135	0.5735917	0.7134663	0.0290484	0.0000000
