YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.6878449	0.1129182	0.3150492	0.4151692	0.4593044	0.4676211	0.3436844	0.4766459	0.5714386	0.0562280
0.5476279	0.0342458	0.2699899	0.4507899	0.5928474	0.3429047	0.3672128	0.5404678	0.7735677	0.0538696
0.6559638	0.0026927	0.6498169	0.3239345	0.1835897	0.5398585	0.2265593	0.6388854	0.6631199	0.0028679
0.8386733	0.0021408	0.3670274	0.5238599	0.5078113	0.4226092	0.3243903	0.6869801	0.8305844	0.0223905
0.6927384	0.0890802	0.3893603	0.5938714	0.5363194	0.4459126	0.3356979	0.7116768	0.6510294	0.0501509
0.7642629	0.0000225	0.3470069	0.6221478	0.4718532	0.4358340	0.4284974	0.4766237	0.5042722	0.0145856
0.7319592	0.0495932	0.5443820	0.7123172	0.6504943	0.3218434	0.3528957	0.5971142	0.7947202	0.0050598
0.7299170	0.0746681	0.3235364	0.6056517	0.5255967	0.3149904	0.4555690	0.4734948	0.4902281	0.1085914
0.4798354	0.0518388	0.4375807	0.3848566	0.4613581	0.3550444	0.1852828	0.6491130	0.7544312	0.0353404
0.7367989	0.0427634	0.5552458	0.4206195	0.7855773	0.2665167	0.2517023	0.5353132	0.7332396	0.0274862
