YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0173219	0.9804909	0.1748804	0.2598580	0.6766117	0.3413497	1.0013096	0.1984819	0.4636926	0.9156624
0.2268910	0.5123001	0.4306918	0.5504152	0.6819538	0.3613113	1.0897308	0.3010940	0.3591548	0.9871240
0.0465949	1.0284721	0.1897091	0.5229445	0.6622676	0.3756151	1.0124694	0.3129145	0.5844781	0.9858933
0.0188138	1.0690083	0.2020956	0.2835975	0.7071537	0.3595675	1.0712641	0.2573308	0.5180800	0.9547725
0.0172979	0.9764720	0.3157050	0.5649017	0.3673435	0.4420198	1.0140899	0.2666269	0.5596810	1.0216987
0.0363014	1.0496020	0.3885916	0.5138170	0.2999585	0.2038920	1.0758004	0.3858446	0.5971927	1.0064949
0.0353664	1.0470236	0.3287724	0.5223713	0.8998726	0.7580754	0.5312433	0.3979670	0.5099562	1.0013000
0.0242917	1.0047463	0.3482809	0.3992362	0.8260108	0.3937019	0.9845262	0.1466845	0.4272015	0.9678141
0.0321782	0.9816574	0.3420684	0.3837851	0.6728638	0.3785786	1.0685824	0.2595720	0.2605084	1.0275527
0.0315491	0.9753903	0.2625174	0.3940050	0.6531322	0.4034579	0.9513435	0.2797737	0.5628286	0.4604340
