YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
1.0371298	0.0003116	0.0058016	0.4095395	0.6916443	0.0500624	0.2294625	0.8683703	0.0000015	0.5804700
0.8367769	0.2855760	0.5038952	0.2686894	1.0002259	0.0042833	0.3656202	0.7821344	0.3606424	0.8838532
0.5600132	0.5163642	0.3934744	0.2248246	0.9559773	0.0119605	0.2858214	1.0025553	0.0031312	0.9162352
0.8124298	0.2893420	0.5071447	0.3831614	0.4709900	0.0419105	0.2773754	1.0247979	0.0001512	0.5199482
0.7128257	0.0597539	0.3701748	0.3875271	0.8988806	0.0990654	0.3053452	0.8335187	0.2864990	0.4005429
0.8559914	0.2346881	0.6410643	0.1787163	0.9873438	0.0200456	1.0571011	0.9111571	0.0011083	0.8959542
0.6601171	0.3382620	0.4459427	0.2013279	0.8534703	0.0165759	0.3307079	0.6668279	0.0041954	0.9827179
0.6736039	0.6313094	0.8563629	0.1899598	0.9758513	0.0615035	0.6787379	0.9073286	0.0064289	0.4579284
0.9259673	0.1411364	0.1292183	0.2358381	1.0576742	0.0297432	0.9119678	1.0292970	0.0089265	0.6946585
0.5588880	0.4288976	0.7763829	0.2455342	0.9133912	0.0193962	0.8262649	0.8726393	0.1998966	0.9192965
