YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.0000000	0.0543417	0.0043187	0.6934807	0.6624621	0.2738654	0.6211930	0.8119241	0.7035415	0.8272005
0.7561898	0.0000000	0.0070650	0.6749156	0.8424068	0.3212668	0.6776229	0.7371169	0.6208040	0.7237859
0.6879299	0.0510100	0.0000000	0.7551206	0.7457700	0.3936001	0.8198179	0.7404406	0.7893102	0.6741835
0.1803722	0.4529366	0.6492326	0.0000000	0.1206259	0.0214456	0.6610878	0.5365629	0.8117800	0.6814221
0.6078071	0.0596221	0.0052343	0.7414632	0.0000000	0.0587883	0.5998416	0.8213164	0.7170802	0.6972017
0.5870794	0.0813245	0.0016575	0.5790268	0.5791116	0.0000000	0.7019316	0.8227821	0.6229592	0.6852893
0.7277603	0.0351949	0.0113781	0.8797490	0.6726164	0.0190359	0.0000000	0.7442253	0.7182263	0.7067204
0.7103227	0.0604954	0.0076210	0.7176744	0.7945009	0.0198858	0.0142959	0.0000000	0.6115489	0.6838043
0.6014756	0.0615832	0.0225319	0.6857323	0.5183243	0.3003509	0.8119007	0.6371864	0.0000000	0.7269206
0.6393575	0.0995811	0.0027299	0.6314090	0.7425887	0.2978671	0.8234970	0.8684982	0.4497082	0.0000000
