YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.5781680	0.3357582	0.7478917	0.9485048	0.3741851	0.9985440	0.2172095	1.0000000	0.0000000	1.0000000
0.4146491	0.5726738	0.5077991	0.9672516	0.3403222	0.9985433	0.2172102	0.9999999	0.0000000	0.7890641
0.2366056	0.2255489	0.8572250	0.9964895	0.2936928	0.9985225	0.2178082	0.9988435	0.1103989	1.0000000
0.4668784	0.4173240	0.6585588	0.6636318	0.2539424	0.4620788	0.1083687	0.9895926	0.0862665	0.9417425
0.6315449	0.5625473	0.5135123	0.8865980	0.2979549	0.7137446	0.1422741	0.9547717	0.1103989	1.0000000
0.3903065	0.8887042	0.3695801	0.9143605	0.2651884	0.9964490	0.2641968	0.9178575	0.1103989	1.0000000
0.1968915	0.2953627	0.7133152	0.7546746	0.4588111	0.6790194	0.2176926	0.9990580	0.0561328	1.0000000
0.2603275	0.5849118	0.3365624	0.9170684	0.2262401	0.7750253	0.1833351	0.9505859	0.1103989	0.9723656
0.5308025	0.5927992	0.6081594	0.7862997	0.2288502	0.7579451	0.2556933	0.8030667	0.0000003	1.0000000
0.0810047	0.1902780	0.7909930	0.9604608	0.2440983	0.9985446	0.2172091	1.0000000	0.0000000	1.0000000
