YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.8642780	0.0765048	0.3600853	0.6223516	0.6821965	0.6135574	0.5119396	0.5352515	0.7169820	0.0773122
0.6437379	0.0652331	0.3336892	0.7273292	0.7246298	0.5142763	0.4794448	0.7529513	0.9466996	0.0824759
0.8917163	0.0000092	0.7954919	0.4689486	0.2557276	0.7724215	0.3248346	0.8568005	0.9991725	0.0043465
0.9999817	0.0001205	0.4633951	0.5493386	0.6936724	0.5947266	0.4735323	0.7630197	0.9620849	0.0643899
0.8601420	0.0761329	0.4542037	0.6896775	0.7238694	0.5770423	0.4539054	0.7980456	0.9598546	0.0671009
0.9999801	0.0001284	0.4509466	0.7211295	0.6393663	0.5971346	0.5277527	0.6752389	0.8470549	0.0325970
0.8717642	0.0760377	0.5517621	0.7596174	0.8252459	0.4790900	0.4216451	0.8260627	0.9966097	0.0116762
0.9360920	0.0766671	0.3424975	0.7122553	0.7601008	0.5439547	0.5348510	0.6645099	0.7109803	0.0699199
0.6757529	0.0760119	0.6288011	0.4776752	0.5817499	0.4552827	0.3000277	0.8705597	0.9804991	0.0398747
0.9367505	0.0760022	0.6870003	0.6148171	0.8593007	0.4297901	0.3523936	0.7753381	0.9828436	0.0364024
