YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0000031	0.0590876	0.0420160	0.9170676	0.0333992	0.0623467	0.1886665	0.5441625	0.2215922	1.0000000
0.0106063	0.0000002	0.0420603	0.9524464	0.0248703	0.0623467	0.1886665	0.5629180	0.2215922	1.0000000
0.0414004	0.0590876	0.0000021	0.9170675	0.0333992	0.0623467	0.1886665	0.5441622	0.2215922	1.0000000
0.0414004	0.0590876	0.0420156	0.0000045	0.0333992	0.0623467	0.1886665	0.1278542	0.2215922	1.0000000
0.0414004	0.0590876	0.0429107	0.9999914	0.0000049	0.0623467	0.1886665	0.5860890	0.2215922	1.0000000
0.0414004	0.0590876	0.0428985	0.9088996	0.0351478	0.0000019	0.1886665	0.5395640	0.2215922	1.0000000
0.0414004	0.0590876	0.0429049	0.9524175	0.0248788	0.9999126	0.0000001	0.5629028	0.2215922	1.0000000
0.0414004	0.0590876	0.0428998	0.9170675	0.0333992	0.0623467	0.1886665	0.0000027	0.2215922	1.0000000
0.0414005	0.0590878	0.0428998	0.9168421	0.0334505	0.0616289	0.9996864	0.4537315	0.0000025	1.0000000
0.0414004	0.0590876	0.0429030	0.9395342	0.0281427	0.1324901	0.0416036	0.8161375	0.9999999	0.0000008
