YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.4541652	0.0881415	0.0049537	1.0311219	0.9657423	0.4030773	1.0280815	0.9637205	0.9182276	1.0648458
0.9866569	0.0563819	0.0031885	1.0521393	1.0363725	0.3854915	0.9578801	1.0577426	0.9087529	0.9556075
0.9360409	0.0856655	0.0005022	0.9844187	0.9933908	0.3870036	0.9886402	1.0742158	0.9848200	1.0459088
0.8788423	0.0705359	0.0126280	0.4970697	0.9763958	0.3949092	0.8943891	1.0391704	0.9692899	1.0137249
0.9656403	0.0739986	0.0062252	1.0107039	0.4627005	0.1552707	0.9639808	0.9481183	0.9743781	1.0355329
0.8504094	0.0748543	0.0035561	1.0003790	0.9738495	0.2057072	0.9700395	1.0170371	0.9711599	0.9827711
0.9119444	0.1136460	0.0085121	1.0076519	1.0303963	0.2061977	0.5233990	1.0291710	0.9145369	1.1247654
0.8904198	0.0799047	0.0066085	1.0263800	1.0429498	0.3048614	0.4859539	0.5308853	0.8915028	1.0856714
0.8782009	0.0957222	0.0061335	0.9779126	0.8947038	0.3725986	0.9974674	0.9874911	0.5308768	0.9486160
0.8748016	0.0993819	0.0057620	0.9931332	0.9789570	0.3834903	0.9095765	0.9542151	0.8617565	0.5464886
