YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.3772074	0.2387177	0.3880765	0.7014614	0.1283491	0.2304379	0.9568999	0.7730341	0.2652998	1.0000000
0.8600887	0.5788625	0.8152652	0.1707531	0.3271275	0.4630106	0.7585708	0.2051473	0.3566625	0.6832958
0.7988255	0.6783850	0.9836344	0.0282705	0.4600620	0.3583650	1.0000000	0.3229391	0.4570103	1.0000000
0.7819630	0.6493638	0.8639225	0.0845751	0.4188763	0.2094306	1.0000000	0.1789949	0.6597372	0.9881268
0.3101124	0.2152030	0.3600494	0.7751994	0.1475683	0.2455509	1.0000000	0.8092289	0.2568196	1.0000000
0.7909043	0.6640213	0.8688449	0.0239974	0.6560939	0.3976234	0.9321265	0.0070353	0.3481649	1.0000000
0.8281775	0.5440396	0.7611979	0.2145033	0.2594408	0.2600444	1.0000000	0.4562513	0.5919007	1.0000000
0.6607893	0.4718919	0.6602731	0.1240327	0.3854946	0.4699605	0.7424617	0.1974377	0.6178987	1.0000000
0.7461619	0.5962493	0.8478130	0.1452311	0.3539039	0.2729705	0.8824998	0.0960425	0.2615559	1.0000000
0.7746840	0.5917780	0.7543927	0.0193917	0.7706498	0.6076174	0.4846837	0.0036761	0.2958585	0.5716933
