YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.0000000	0.9434377	0.0000000	0.5092692	0.0506614	0.3056335	0.9172935	1.0577879	0.0144983	0.0887538
0.0000000	0.3244458	1.0999215	0.5310221	0.0000000	0.3959212	0.7201474	1.0421661	0.0288144	0.1280400
0.9735021	0.0000000	1.1308357	0.5044231	0.1374032	0.2696275	0.9749270	0.0000000	0.0106689	0.0580145
0.2655401	0.9025109	0.0000000	0.5322455	0.0000000	0.2609644	0.9225939	0.9369417	0.0099527	0.0738874
0.7754393	0.3973252	1.1254227	0.0000000	0.0473163	0.0000000	0.7517479	0.9552728	0.0063656	0.0908978
0.7233822	0.3633371	1.0239997	0.6434167	0.0188827	0.0000000	0.7524603	1.0997411	0.0000000	0.0671905
