"Time"	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W

0	1.0000000	0.9086691	0.8848550	0.4115067	0.3974536	0.6773818	0.6602751	0.1054028	0.9999983	0.0317284
50	1.0000000	0.9338421	0.8882417	0.3398061	0.5525293	0.6765418	0.6585702	0.1176927	0.9999983	0.0316989
100	1.0000000	0.9435767	0.9140562	0.2239807	0.5922709	0.6698512	0.6413686	0.1472432	0.9999983	0.0313468
150	1.0000000	0.9488953	0.9496859	0.1622135	0.5988547	0.6621398	0.6070188	0.1701251	0.9999983	0.0301363
200	1.0000000	0.9530623	0.9738139	0.1377923	0.5972203	0.6623368	0.5722645	0.1817495	0.9999985	0.0285349
250	1.0000000	0.9562417	0.9857015	0.1298158	0.5975204	0.6700593	0.5471929	0.1863024	0.9999987	0.0272478
300	1.0000000	0.9583515	0.9908601	0.1268407	0.6019965	0.6802259	0.5322945	0.1882722	0.9999989	0.0264558
350	1.0000000	0.9595986	0.9930820	0.1241056	0.6087928	0.6890494	0.5241394	0.1901281	0.9999990	0.0260351
400	1.0000000	0.9602808	0.9941555	0.1206952	0.6155194	0.6953383	0.5192515	0.1924867	0.9999991	0.0258279
450	1.0000000	0.9606396	0.9948034	0.1171657	0.6208942	0.6994922	0.5155161	0.1950500	0.9999992	0.0257268
500	1.0000000	0.9608295	0.9952769	0.1141205	0.6247530	0.7023398	0.5121332	0.1973883	0.9999992	0.0256742
550	1.0000000	0.9419458	0.9955273	0.1324856	0.4802342	0.7045372	0.5099520	0.1872314	0.9999992	0.0256431
600	1.0000000	0.9350286	0.9940544	0.1980699	0.4440635	0.7061495	0.5176964	0.1602967	0.9999992	0.0256335
650	1.0000000	0.9323192	0.9879377	0.2630888	0.4356460	0.7055654	0.5396928	0.1393839	0.9999992	0.0256971
700	1.0000000	0.9307277	0.9762115	0.3015646	0.4323889	0.7015725	0.5676193	0.1281491	0.9999992	0.0259285
750	1.0000000	0.9290215	0.9622495	0.3213468	0.4276895	0.6951687	0.5922039	0.1226515	0.9999992	0.0263735
800	1.0000000	0.9269570	0.9497841	0.3352504	0.4207663	0.6884176	0.6099080	0.1193022	0.9999992	0.0269621
850	1.0000000	0.9247513	0.9395313	0.3498908	0.4131006	0.6829754	0.6218582	0.1163408	0.9999991	0.0275755
900	1.0000000	0.9226225	0.9303397	0.3660657	0.4064107	0.6795158	0.6305168	0.1133762	0.9999991	0.0281480
950	1.0000000	0.9206099	0.9212122	0.3817087	0.4016744	0.6778720	0.6376419	0.1106421	0.9999990	0.0286849
1000	1.0000000	0.9186463	0.9121098	0.3944808	0.3989912	0.6774520	0.6438845	0.1084528	0.9999989	0.0292155

0	1.0000000	0.9086691	0.8848550	0.4115067	0.3974536	0.6773818	0.6602751	0.1054028	0.9999983	0.0317284
50	1.0000000	0.9087203	0.8850243	0.4115782	0.3992059	0.6926942	0.4299348	0.1053939	0.9999983	0.0317092
100	1.0000000	0.9087718	0.8854235	0.4036492	0.4193237	0.7366163	0.3575259	0.1065244	0.9999983	0.0316942
150	1.0000000	0.9089130	0.8898695	0.3658960	0.4615845	0.7781631	0.3336327	0.1125062	0.9999983	0.0316428
200	1.0000000	0.9096924	0.9049226	0.3014061	0.5063969	0.8043018	0.3218323	0.1249527	0.9999983	0.0313525
250	1.0000000	0.9119320	0.9292382	0.2386413	0.5396814	0.8182879	0.3100942	0.1406418	0.9999983	0.0305741
300	1.0000000	0.9156546	0.9533924	0.1938917	0.5604055	0.8268290	0.2966583	0.1551451	0.9999984	0.0293911
350	1.0000000	0.9198817	0.9709081	0.1665213	0.5733633	0.8341629	0.2834827	0.1662345	0.9999986	0.0281766
400	1.0000000	0.9235952	0.9814800	0.1504252	0.5829842	0.8414564	0.2724017	0.1740246	0.9999987	0.0272151
450	1.0000000	0.9263493	0.9873523	0.1403459	0.5913861	0.8483358	0.2639690	0.1795979	0.9999989	0.0265699
500	1.0000000	0.9281805	0.9905904	0.1332221	0.5989649	0.8542449	0.2578183	0.1839253	0.9999990	0.0261772
550	1.0000000	0.9293201	0.9924610	0.1277516	0.6031880	0.8378471	0.4422332	0.1874884	0.9999991	0.0259493
600	1.0000000	0.9300073	0.9936029	0.1256754	0.5852678	0.7886045	0.4965782	0.1890675	0.9999992	0.0258178
650	1.0000000	0.9304167	0.9941432	0.1340888	0.5432739	0.7473553	0.5122397	0.1844834	0.9999992	0.0257413
700	1.0000000	0.9306411	0.9937224	0.1588607	0.4990046	0.7234260	0.5204648	0.1724799	0.9999992	0.0257036
750	1.0000000	0.9306906	0.9915642	0.1982236	0.4664471	0.7109240	0.5323306	0.1570279	0.9999992	0.0257111
800	1.0000000	0.9304983	0.9865905	0.2424872	0.4461880	0.7033079	0.5497232	0.1428438	0.9999992	0.0257908
850	1.0000000	0.9299374	0.9781152	0.2817307	0.4335216	0.6970997	0.5700518	0.1320955	0.9999992	0.0259837
900	1.0000000	0.9288854	0.9667467	0.3124467	0.4243661	0.6913952	0.5897864	0.1246182	0.9999992	0.0263227
950	1.0000000	0.9273172	0.9540948	0.3362326	0.4167990	0.6864381	0.6066519	0.1193773	0.9999992	0.0268048
1000	1.0000000	0.9253367	0.9415928	0.3556181	0.4104230	0.6826146	0.6200766	0.1154701	0.9999991	0.0273890

0	1.0000000	0.9086691	0.8848550	0.4115067	0.3974536	0.6773818	0.6602751	0.1054028	0.9999983	0.0317284
50	1.0000000	0.9088892	0.8971950	0.2945589	0.3991379	0.6931080	0.3645311	0.4444674	0.9999983	0.0316371
100	1.0000000	0.9107602	0.9253981	0.2546880	0.4224137	0.7535507	0.2129017	0.5632743	0.9999983	0.0309338
150	1.0000000	0.9145899	0.9486157	0.2149304	0.4829889	0.8300297	0.1437174	0.6076447	0.9999984	0.0296773
200	1.0000000	0.9188980	0.9665894	0.1571666	0.5591606	0.8899608	0.1139110	0.6295533	0.9999985	0.0284367
250	1.0000000	0.9227803	0.9812484	0.1037416	0.6224826	0.9265529	0.1009466	0.6452500	0.9999987	0.0274157
300	1.0000000	0.9259637	0.9910887	0.0686736	0.6640064	0.9462043	0.0948918	0.6576901	0.9999989	0.0266273
350	1.0000000	0.9283249	0.9962140	0.0492783	0.6878385	0.9561552	0.0917078	0.6667971	0.9999990	0.0260804
400	1.0000000	0.9298824	0.9984377	0.0393151	0.7005461	0.9611343	0.0898381	0.6728145	0.9999991	0.0257505
450	1.0000000	0.9308036	0.9993147	0.0343409	0.7070866	0.9636844	0.0886758	0.6764752	0.9999992	0.0255751
500	1.0000000	0.9313027	0.9996531	0.0318779	0.7104323	0.9650494	0.0879482	0.6785739	0.9999992	0.0254906
550	1.0000000	0.9315550	0.9996975	0.0647185	0.7112706	0.9547568	0.2085290	0.3897831	0.9999992	0.0254527
600	1.0000000	0.9316669	0.9994558	0.0744351	0.7018169	0.9197240	0.2841662	0.2889778	0.9999993	0.0254402
650	1.0000000	0.9316949	0.9991191	0.0794583	0.6762302	0.8756261	0.3490502	0.2510963	0.9999993	0.0254430
