"Time"	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C

0	0.9925970	0.9694662	0.8082680	0.1371225	0.1412597	0.9980364	0.9422887	0.7069555	0.5109740	1.0000000
50	0.9933898	0.9689497	0.7466826	0.2923218	0.0986069	0.9980362	0.9414552	0.5062214	0.5109645	1.0000000
100	0.9936821	0.9598889	0.5832562	0.3364856	0.0820086	0.9980323	0.9369586	0.4627628	0.5111634	1.0000000
150	0.9936620	0.9162022	0.4515008	0.3472352	0.0755499	0.9980182	0.9296334	0.4531422	0.5129996	1.0000000
200	0.9930353	0.7922719	0.3778783	0.3491906	0.0730380	0.9979936	0.9227952	0.4496259	0.5218955	1.0000000
250	0.9905520	0.5965470	0.3423993	0.3491995	0.0720632	0.9979654	0.9180627	0.4426018	0.5537857	1.0000000
300	0.9825202	0.4150732	0.3266537	0.3489499	0.0716870	0.9979408	0.9153096	0.4209751	0.6308297	1.0000000
350	0.9595455	0.2926501	0.3200771	0.3487681	0.0715437	0.9979229	0.9138743	0.3754623	0.7282969	1.0000000
400	0.9061414	0.2218488	0.3174751	0.3486694	0.0714904	0.9979114	0.9131805	0.3194262	0.7955925	1.0000000
450	0.8173746	0.1838759	0.3165013	0.3486221	0.0714714	0.9979047	0.9128634	0.2746224	0.8293317	1.0000000
500	0.7155278	0.1643522	0.3161596	0.3486010	0.0714651	0.9979011	0.9127250	0.2469896	0.8442797	1.0000000
550	0.5736619	0.1567489	0.3521037	0.1863638	0.1141195	0.9979009	0.9173069	0.3522124	0.8506133	1.0000000
600	0.5015179	0.1925209	0.4815423	0.1409652	0.1307184	0.9979168	0.9276410	0.3690287	0.8531773	1.0000000
650	0.5708491	0.3592323	0.6277458	0.1324093	0.1371760	0.9979490	0.9350595	0.3700882	0.8529974	1.0000000
700	0.7562734	0.6043557	0.7266957	0.1329827	0.1396851	0.9979816	0.9389897	0.3706625	0.8362354	1.0000000
750	0.8838294	0.7820352	0.7774336	0.1346994	0.1406571	0.9980055	0.9408592	0.3833850	0.7611157	1.0000000
800	0.9450795	0.8790927	0.7991005	0.1359037	0.1410316	0.9980202	0.9416987	0.4274702	0.6623186	1.0000000
850	0.9721040	0.9271774	0.8068703	0.1365574	0.1411746	0.9980284	0.9420583	0.4986684	0.5919475	1.0000000
900	0.9837673	0.9500925	0.8090027	0.1368738	0.1412286	0.9980327	0.9422049	0.5714587	0.5519429	1.0000000
950	0.9887816	0.9607834	0.8092200	0.1370171	0.1412486	0.9980347	0.9422613	0.6274131	0.5310972	1.0000000
1000	0.9909431	0.9656801	0.8089607	0.1370791	0.1412559	0.9980357	0.9422814	0.6634695	0.5206625	1.0000000

0	0.9925970	0.9694662	0.8082680	0.1371225	0.1412597	0.9980364	0.9422887	0.7069555	0.5109740	1.0000000
50	0.9926140	0.9734315	0.6695355	0.5052896	0.1412597	0.9980357	0.9392515	0.3571754	0.5107918	1.0000000
100	0.9926242	0.9555351	0.3908735	0.6270356	0.1412600	0.9980176	0.9128416	0.2815111	0.5106820	1.0000000
150	0.9922319	0.8278742	0.2294338	0.6672948	0.1412633	0.9979263	0.8583480	0.2649997	0.5149537	1.0000000
200	0.9894668	0.5836953	0.1572866	0.6806085	0.1412768	0.9977226	0.8016745	0.2591337	0.5443712	1.0000000
250	0.9791838	0.4261821	0.1269533	0.6850133	0.1413081	0.9974312	0.7594027	0.2466486	0.6268916	1.0000000
300	0.9555861	0.3556578	0.1143791	0.6864749	0.1413589	0.9971174	0.7329214	0.2195229	0.7217299	1.0000000
350	0.9213480	0.3263184	0.1091733	0.6869659	0.1414227	0.9968425	0.7179424	0.1873263	0.7833953	1.0000000
400	0.8877963	0.3143121	0.1070154	0.6871380	0.1414891	0.9966369	0.7100065	0.1622553	0.8151329	1.0000000
450	0.8629171	0.3094211	0.1061201	0.6872051	0.1415489	0.9965009	0.7059855	0.1467825	0.8301082	1.0000000
500	0.8474907	0.3074309	0.1057482	0.6872366	0.1415968	0.9964188	0.7040108	0.1383441	0.8369175	1.0000000
550	0.7998333	0.1546101	0.1206234	0.3191803	0.1416314	0.9963982	0.7371442	0.3304868	0.8433090	1.0000000
600	0.6143377	0.0931409	0.2001620	0.1974863	0.1416479	0.9966395	0.8206681	0.3673792	0.8500458	1.0000000
