YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.6147756	0.6960821	0.6895158	0.0041096	0.6647581	0.0332514	0.0031501	0.7609046	0.7197774	0.0352772
0.5302078	0.8475959	0.6051449	0.0201847	0.8399116	0.0005420	0.0004206	0.7320040	0.8128312	0.0149017
0.5367894	0.6093749	0.7449799	0.0161712	0.8295300	0.0569100	0.0032935	0.7738460	0.7416058	0.0175237
0.5682024	0.7479993	0.4563899	0.5582390	0.7018666	0.0378859	0.0360253	0.5763558	0.2313028	0.4814659
0.4974658	0.8270806	0.3528410	0.7674303	0.7301190	0.0006555	0.0069029	0.7156954	0.5625407	0.2417788
0.6244605	0.7617251	0.6491712	0.0104365	0.7665720	0.0011288	0.0243669	0.7447198	0.7510751	0.0418186
0.5227172	0.8724160	0.6862134	0.0042675	0.7667666	0.0036160	0.0520319	0.7273211	0.5074151	0.0452638
0.6139514	0.7161367	0.5668139	0.0032431	0.6863634	0.0940224	0.0241058	0.6704972	0.4859908	0.0065943
0.6345129	0.6214127	0.5294199	0.6947815	0.7534395	0.0018323	0.0434610	0.7155399	0.3597322	0.3831638
0.6673963	0.7351526	0.6309594	0.8405313	1.0115879	0.0008113	0.0729705	0.7379672	0.5480042	0.2909944
