YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C
0.0963062	0.7639415	0.1102914	0.2830392	0.2336932	0.2346415	0.2272499	0.7899827	0.4152943	0.3557842
0.1138927	0.8385422	0.0934885	0.4543993	0.3059864	0.6867283	0.0047343	0.6616067	0.6537296	0.8709343
0.1560464	0.7261549	0.4046909	0.1133383	0.0113233	0.0484884	0.1810677	0.3751863	0.8074199	0.8304940
0.1685024	0.6656432	0.3548304	0.1913307	0.2343907	0.2123842	0.1759893	0.3111954	0.6191939	0.4511905
0.2277410	0.8318797	0.1397349	0.4569676	0.4223123	0.4486085	0.1120021	0.7495514	0.6740111	0.4433773
0.1606032	0.8060669	0.2258289	0.3124792	0.0317882	0.2613129	0.1804618	0.3591975	0.7417378	0.7667536
0.1283375	0.7530914	0.1975154	0.2737614	0.5655826	0.2885421	0.1743009	0.4607692	0.8054884	0.6408667
0.1187938	0.6316321	0.0192040	0.5296628	0.4405879	0.5715878	0.0037943	0.5554787	0.6132704	0.7472970
0.2494431	0.4738069	0.0262547	0.4561483	0.2466001	0.5173340	0.0418059	0.3560431	0.8396138	0.6611017
0.0655476	0.6905028	0.2349890	0.1856316	0.2428775	0.1139726	0.2394937	0.5612332	0.7197787	0.6005358
