YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W
0.0599495	0.6420373	0.9999802	0.0555295	0.1059928	0.8736763	0.9025670	0.0449875	0.2597946	0.1365107
0.5936463	0.3210175	0.9999767	0.0577590	0.2054435	0.6653932	0.9483168	0.0421230	0.4208903	0.2844492
0.9068232	0.1870243	0.4992672	0.1579230	0.4948815	0.4510274	0.9840736	0.0418085	0.4979273	0.5255747
0.1198321	0.6420502	0.9999988	0.0277731	0.1059919	0.8736806	0.9025663	0.0449877	0.2597897	0.1365073
0.1198386	0.6420374	0.9999803	0.0554069	0.0530143	0.8736764	0.9025670	0.0449875	0.2597945	0.1365107
0.1207154	0.6402104	0.9972863	0.1835625	0.5242393	0.4365545	0.9026899	0.0449600	0.2604680	0.1369749
0.1198386	0.6420373	0.9999802	0.0554677	0.0912147	0.9371334	0.4503946	0.0449159	0.2613861	0.0888504
0.1198386	0.6420373	0.9999802	0.0555295	0.1059927	0.8736765	0.9025670	0.0224958	0.2597946	0.1365107
0.1198386	0.6420373	0.9999802	0.0555321	0.1066258	0.8710795	0.9888896	0.0753898	0.1298525	0.1384050
0.1198386	0.6420374	0.9999803	0.0554549	0.0868672	0.9600246	0.9028526	0.0449993	0.2595348	0.0682668
