YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0000000	0.2185761	0.3416909	0.4368506	0.1680475	0.2493022	0.8698894	0.5785623	0.5015847	0.6839642
0.0077986	0.0000000	0.3201715	0.4747218	0.2496156	0.2749392	0.8116355	0.5297303	0.5436896	0.7211136
0.0068754	0.0044845	0.0000000	0.3646405	0.2812216	0.2976927	0.7219327	0.6492762	0.5176888	0.8493124
0.6335037	0.4820164	0.6844797	0.0000000	0.2284528	0.2784075	0.7973745	0.0954758	0.4657728	0.7752146
0.1179000	0.1289804	0.2084452	0.5759885	0.0000000	0.3160961	0.9292909	0.7307902	0.3826531	0.7193148
0.1315656	0.1427254	0.2185436	0.7009852	0.0350998	0.0000000	0.8000898	0.7729847	0.3925194	0.8366759
0.6726154	0.5027762	0.7874592	0.0056855	0.5033027	0.6211984	0.0000000	0.0004503	0.4275900	0.8062777
0.5835860	0.3934440	0.6293220	0.1521991	0.2294114	0.2944762	0.9605403	0.0000000	0.4529220	0.8456999
0.5870258	0.4144559	0.5758568	0.0960817	0.1825626	0.2847796	0.7303968	0.1581786	0.0000000	0.7686280
0.6056232	0.4059038	0.4315709	0.2682446	0.1867974	0.3116975	0.9448875	0.3578207	0.6219175	0.0000000
