"Time"	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W

0	0.9322218	0.2128767	0.4255076	0.4531116	0.1477098	0.8984063	1.0717217	0.6913751	1.0497795	0.9850876
50	1.0238331	0.1975266	0.2436250	0.4836705	0.1673049	1.0225330	1.0816762	0.6270185	1.0430818	1.0583458
100	1.0369199	0.1348700	0.1575939	0.5276207	0.2026887	0.9867440	1.0594666	0.7309968	1.0366647	1.0615199
150	0.9743757	0.0902093	0.1423124	0.6183033	0.1758973	0.9709812	1.0600810	0.6965640	1.0179532	0.9793182
200	0.9388332	0.0767229	0.1279220	0.5543599	0.1838592	1.0079774	0.9376330	0.7232506	1.0223461	0.9238642
250	0.7797888	0.0716908	0.0992584	0.5642088	0.1764100	0.9861964	0.9891321	0.7575512	1.0511597	0.9519488
300	0.8528256	0.0926072	0.1180220	0.6549273	0.1738961	0.9527590	0.9397272	0.7414903	1.0142842	0.9675948
350	0.7654646	0.1048007	0.1099543	0.5500171	0.2054337	0.9779913	0.9819781	0.7582840	0.9826110	0.9562195
400	0.8178407	0.0879892	0.1119396	0.5661611	0.1884637	0.9933690	0.9504769	0.7860024	0.9967103	0.9817077
450	0.8145468	0.1299293	0.1306800	0.4699161	0.1590613	1.0230640	1.0265861	0.7101540	1.0039851	0.9733206
500	0.8538552	0.0909072	0.1470400	0.5427339	0.1456204	1.0181905	1.0464169	0.6436744	1.0578906	1.0256290
550	0.8293308	0.0992204	0.3138578	0.5336163	0.1767074	1.0102422	1.0235868	0.8010088	1.0203657	0.9993395
600	0.7699015	0.1055696	0.3434893	0.5197582	0.1662282	1.0682142	1.0427102	0.7159907	0.9896687	1.0074153
650	0.9062101	0.1503856	0.4238460	0.4302474	0.1317934	1.0638589	1.0617970	0.7517659	1.0471348	0.9457934
700	0.8979994	0.2089879	0.5405627	0.4404034	0.1046247	0.9427665	1.0633849	0.6356234	1.0011369	0.9658758
750	0.9357600	0.3154814	0.4441435	0.4497505	0.1126825	0.9460722	0.9622742	0.6715908	0.9788591	0.9304142
800	0.9610563	0.2136766	0.3464252	0.4372611	0.1284030	1.0990503	0.9957325	0.6119199	0.8908393	0.9264924
850	1.0564171	0.2278080	0.4456808	0.4327752	0.1007414	1.0457247	1.0228080	0.6714897	0.9507192	0.9484347
900	1.0039643	0.2168511	0.4789924	0.4630864	0.1201624	1.0519376	1.0096096	0.6256778	1.0347681	1.0064368
950	0.9846344	0.1950982	0.3925090	0.4699616	0.1110421	0.9809486	1.0139893	0.6799074	1.0644814	1.0426578
1000	0.8823089	0.1373275	0.3758135	0.4485476	0.1582184	0.9915617	1.0071574	0.8102204	0.9879604	1.0231472

0	0.9322218	0.2128767	0.4255076	0.4531116	0.1477098	0.8984063	1.0717217	0.6913751	1.0497795	0.9850876
50	0.9232303	0.6428037	0.5677949	0.2067945	0.1379803	0.9885396	1.0526190	0.9580629	0.9319616	0.9744154
100	0.9281564	0.7966643	0.6775757	0.1128833	0.1441545	0.9588433	1.0137393	0.8906059	0.9323389	0.9646248
150	0.9906643	0.8669591	0.8779646	0.1112904	0.1883021	0.9816590	0.9599489	0.8896778	0.9852865	1.0130582
200	1.0577034	1.0350622	0.9694957	0.0856147	0.1820977	1.0001159	0.9870442	0.8249254	0.9158247	1.0214947
250	1.0887432	0.9531238	0.9267446	0.0916619	0.1519352	1.0968530	1.0281698	0.8461892	0.9587944	1.0907581
300	1.0012980	0.8826201	0.9452507	0.0556946	0.1692031	1.1243715	1.0823516	0.9082237	0.8836159	1.0629266
350	0.9539820	0.8844039	0.9777173	0.0585481	0.1578797	0.9745491	1.0475776	0.8192954	0.9368087	0.9793815
400	1.0165651	0.9668714	0.9370697	0.0807160	0.1456320	0.9920086	1.0634881	0.8174677	0.9307449	1.0753833
450	0.9585352	0.9992137	0.9347058	0.0744032	0.1505743	0.9598263	0.9703452	0.7465736	1.0207912	1.0839328
500	0.9880629	0.9996044	0.9688378	0.0883730	0.1685738	0.9901607	0.9640715	0.8280841	0.9470053	1.1148028
550	1.0310298	0.9017155	0.9195220	0.1699846	0.1818602	1.0160783	1.0167219	0.7124976	1.0522703	1.0697397
600	1.0084377	0.8092626	0.9217624	0.1793993	0.1130092	0.9796417	0.9455971	0.6977425	1.0310383	1.0434002
650	0.9768735	0.7946748	0.8616566	0.2069413	0.1253975	0.9764090	0.9960630	0.6442965	1.0199568	1.0055357
700	1.0317005	0.7697755	0.7512087	0.2488800	0.1537544	0.9702085	0.9908565	0.7131691	1.0266641	0.9681794
750	0.9587671	0.7803623	0.6738314	0.2658099	0.1693748	1.0159431	1.0243568	0.6444046	0.9848154	0.9675093
800	0.9727359	0.6845015	0.6612689	0.2673121	0.1419646	0.9989750	0.9985888	0.7027799	1.0159525	1.0432935
850	0.9891212	0.6306429	0.6765581	0.3139143	0.1499253	0.9906204	1.0034572	0.7060067	0.9609504	1.0419733
900	0.9676901	0.6284294	0.6830553	0.2967214	0.1608268	0.9572910	0.9853873	0.6675587	0.9974350	1.0343763
950	0.9867714	0.6853896	0.6624890	0.3175607	0.1863930	0.9616636	1.0249732	0.7633938	0.9848300	1.0660496
1000	0.9670140	0.4947326	0.5237015	0.3279168	0.1714780	0.9596434	0.8993196	0.6579664	0.9746014	1.0502580

0	0.9322218	0.2128767	0.4255076	0.4531116	0.1477098	0.8984063	1.0717217	0.6913751	1.0497795	0.9850876
50	0.9566599	0.1819126	0.4891359	0.1060313	0.1345124	0.9428806	0.9239634	0.5412438	0.9712718	0.9591767
100	0.9154011	0.2148531	0.8218974	0.0406279	0.1139159	1.0007219	0.9701268	0.5292220	0.9530823	0.9824857
150	0.8578005	0.5131553	0.9884667	0.0331693	0.1082860	0.9936889	1.0347999	0.4801459	0.9240732	1.0395833
200	0.9802465	0.6636780	0.9535219	0.0392514	0.0947021	0.8866630	1.0422796	0.5363106	0.9488431	1.0143033
250	0.9606996	0.7138780	1.1151114	0.0214444	0.1065572	0.8889169	1.0206747	0.5703843	0.9483916	1.0125133
300	0.9033089	0.8593778	1.0381117	0.0128690	0.1445015	0.8730973	0.9586306	0.6752664	0.9676725	0.9980300
350	0.9314541	0.8874873	0.9945497	0.0263535	0.1295639	0.8980756	1.0159342	0.6754451	0.9566791	0.9693811
400	0.9235922	0.8394398	0.9863342	0.0219564	0.1261983	0.8984684	1.0072160	0.5878962	1.0721622	1.0165647
450	0.9685277	0.9303866	1.0123612	0.0238448	0.0966125	0.8705780	0.9172946	0.6641537	1.0611582	1.0198075
500	0.9898562	0.8647328	1.0789800	0.0173313	0.1280757	0.8212317	1.0294659	0.6496096	1.0014469	0.9587934
550	0.9270247	0.8976153	0.9585857	0.1539940	0.1474275	0.8777784	1.0154633	0.6197704	1.0219845	0.9784614
600	0.9287283	0.8505523	0.8488352	0.2474086	0.2026449	0.9669461	1.0121877	0.6837670	1.0414700	0.9190658
650	1.0358684	0.8023147	0.7869033	0.2517815	0.1654800	1.0105150	1.0043848	0.6950599	1.0948855	0.9092282
700	0.9706550	0.7156350	0.7394044	0.3139973	0.1496110	1.0791869	0.9943323	0.6773226	0.9751667	0.9748527
750	1.0424092	0.5802318	0.6184583	0.2865678	0.1403757	1.0241484	0.9692965	0.6854833	0.9457304	1.0202622
800	0.9239452	0.5148877	0.5675643	0.3051291	0.1529993	1.0735291	1.0011183	0.7144338	0.9687233	0.9817268
850	1.0018008	0.4934735	0.5416861	0.3647929	0.1504033	1.0435254	0.9167460	0.6692824	0.9559653	0.9174567
900	0.9555788	0.4891336	0.6462745	0.3601226	0.1722941	0.9734665	0.9426290	0.6290007	1.0587779	1.0096459
950	0.9215738	0.5753550	0.6998933	0.3600604	0.1635086	0.9584797	0.9399203	0.7314494	0.9745494	0.9830052
1000	0.9489113	0.6543114	0.6604496	0.3329262	0.1648342	0.9852795	1.0454263	0.6937240	0.9818112	0.9550047

0	0.9322218	0.2128767	0.4255076	0.4531116	0.1477098	0.8984063	1.0717217	0.6913751	1.0497795	0.9850876
50	0.9438628	0.1867568	0.2968932	0.4665575	0.0992179	1.0597974	1.0678242	0.7601358	0.5332031	0.6170558
100	1.0179042	0.1526153	0.2802642	0.5795153	0.0437943	0.9659394	1.0445114	0.4891726	0.3102502	0.4271002
150	0.9551707	0.1025596	0.2821566	0.4795523	0.0507665	1.0334441	0.9981083	0.2197746	0.1981875	0.3823806
200	0.9925232	0.1372411	0.3454221	0.4825205	0.0581637	0.9905033	0.9898230	0.1186698	0.1830792	0.3391649
250	1.0034387	0.1313676	0.3067826	0.5254905	0.0345500	1.0399600	0.9553931	0.0416630	0.1607810	0.3637947
300	0.9328867	0.1189963	0.3099288	0.5252574	0.0289439	0.9513947	1.0152170	0.0313358	0.2066210	0.2689342
350	0.9239074	0.1215842	0.2563819	0.4827146	0.0338977	0.9646507	1.0318623	0.0250870	0.1928946	0.2810978
400	0.9977233	0.1339059	0.2840007	0.5266233	0.0411181	1.0307514	0.9963387	0.0224023	0.1391305	0.3194578
450	0.9730121	0.1161227	0.2432828	0.4930678	0.0370815	0.9602625	1.0010085	0.0181595	0.1744536	0.3168668
500	1.0079798	0.1154658	0.2292673	0.5204902	0.0429848	0.9644230	1.0392475	0.0162134	0.1942597	0.2802544
550	0.7467949	0.0902290	0.3671508	0.4744809	0.0965931	0.9689158	0.9294964	0.0099493	0.6905903	0.7324556
600	0.6309285	0.1459554	0.4659445	0.4663635	0.1670628	0.9652797	0.9848769	0.1020882	0.9914961	0.8877819
650	0.6252139	0.1795471	0.4112688	0.3861410	0.1893238	0.9683537	0.9968052	0.3798512	1.0478331	1.0074333
700	0.6635094	0.2557673	0.5068570	0.4234545	0.1795999	0.9899346	0.8996396	0.5655958	0.9606670	0.9825098
750	0.8339235	0.2260586	0.4650036	0.4587629	0.1478544	0.9583448	0.9374655	0.5885360	1.0330404	0.9889318
800	0.7830353	0.2052395	0.4580208	0.4636840	0.1748408	0.9821585	0.9371967	0.6044319	0.9799632	1.0286377
850	0.9451359	0.2031081	0.4708837	0.4107286	0.1696608	1.0379588	1.0248600	0.6195845	0.9801444	0.9709314
900	0.9599189	0.2759082	0.4424247	0.4373949	0.1294990	1.0143288	1.0227187	0.6754326	1.0105241	0.9362711
950	0.9098300	0.2776967	0.4225758	0.5298753	0.1842789	0.9517451	1.0473891	0.6150317	1.0563999	0.9909032
1000	0.9996988	0.2602421	0.4257942	0.4327062	0.2166717	0.9395493	0.9210559	0.6946567	1.0507315	1.0422736

0	0.9322218	0.2128767	0.4255076	0.4531116	0.1477098	0.8984063	1.0717217	0.6913751	1.0497795	0.9850876
50	0.9720284	0.7319843	0.4692356	0.2727570	0.1431902	1.1023276	0.9222313	0.6260348	0.8928031	1.0550683
100	0.9852301	0.8103018	0.5924483	0.1927729	0.1353344	1.0206791	0.8664199	0.5911485	0.8786077	1.0316007
150	0.9823769	0.9481215	0.7906024	0.1821169	0.1123843	1.0096152	0.8979522	0.6184689	0.9755664	0.9250095
200	0.9894938	0.9470505	0.9047756	0.1331015	0.1192113	0.9943163	0.9800439	0.5812861	0.8911454	0.9547976
250	0.9543493	0.9187669	0.9214964	0.1184380	0.1240304	0.9703541	1.0180264	0.6143717	0.8681264	0.9212716
300	0.9576184	0.8924944	0.9114080	0.1037345	0.1137710	0.9829999	1.0231014	0.5905212	0.9116792	1.0163155
350	0.9589605	0.9883788	0.9179767	0.1039976	0.1232974	1.0144226	0.9160407	0.5438545	0.9258787	1.0660390
400	0.9339932	1.0523673	0.9208882	0.1164308	0.1514560	1.0146630	0.9137328	0.5846537	0.8777357	1.0553990
450	0.8537346	1.0087467	0.9754605	0.0877365	0.1260064	1.1066780	0.8827349	0.6407901	0.9688704	1.0417573
500	0.9352302	1.0748542	0.9693613	0.0652016	0.1525632	1.0820696	0.8792005	0.6733337	0.9074946	1.0416580
550	0.9882877	0.9720671	0.9692568	0.2006682	0.1560438	1.1017065	0.9922175	0.5993265	0.9363944	0.9253155
600	0.9476189	0.8621529	0.8023997	0.2097074	0.1171803	1.0454642	0.9778330	0.6054856	0.9791378	0.9706983
650	0.9156964	0.8086213	0.8875660	0.1944612	0.1537623	1.0399432	0.9918319	0.5408911	0.9457386	1.0130728
700	0.9353203	0.7306604	0.8233330	0.2403081	0.1496967	0.9539093	1.0652361	0.6354242	0.9896596	1.0962268
750	1.0108752	0.7293219	0.7580878	0.2262001	0.1597193	0.9560525	1.0740783	0.6294019	0.9544970	1.1210835
800	0.9578701	0.7206093	0.7520550	0.2475871	0.2371191	0.9414489	1.1220764	0.6127990	0.9799434	0.9880334
850	0.9911836	0.6940022	0.6273700	0.3641396	0.2664164	0.9582817	1.0961147	0.6446129	0.9911610	0.9643433
900	1.0056659	0.5252286	0.5561133	0.3894286	0.1960297	0.9361104	1.0873280	0.6652924	1.0445452	1.0108315
950	0.9060645	0.4362097	0.5196425	0.3332535	0.2082654	1.0194024	1.0602491	0.6514947	0.9926873	0.9304213
1000	0.9778793	0.4484695	0.6264703	0.3276062	0.1573443	1.0395037	1.0469219	0.7189325	1.0165583	1.0084600

0	0.9322218	0.2128767	0.4255076	0.4531116	0.1477098	0.8984063	1.0717217	0.6913751	1.0497795	0.9850876
50	1.0370287	0.4738457	0.3091003	0.4503951	0.1873788	0.5447313	0.8884062	0.7244720	1.0387023	0.8747082
100	0.9872824	0.4520294	0.2860390	0.5055451	0.2829315	0.3252202	0.8651229	0.7123165	1.0567904	0.7993695
150	0.9377185	0.4167804	0.2217453	0.6518986	0.5443819	0.2391224	0.8783649	0.7305120	0.9919005	0.8507964
200	0.9591986	0.4457549	0.1824967	0.7975730	0.6583815	0.2068770	0.8663650	0.6594034	1.0318506	0.7922337
250	0.9394285	0.5072203	0.1431704	0.9127397	0.7629187	0.2185215	0.9077841	0.5917448	1.0253024	0.8855515
300	1.0056908	0.4566188	0.0827406	0.8991222	0.7655971	0.1965332	0.8765913	0.6836365	1.1109821	0.8224551
350	0.9881341	0.4330360	0.0916374	0.8881438	0.7805688	0.1750513	0.8414263	0.7234785	1.0165304	0.8822320
400	1.0394147	0.4610524	0.1181841	0.9502472	0.7998460	0.2012960	0.8792757	0.7567412	0.9995418	0.8607899
450	0.9678049	0.5285272	0.1085119	0.8297456	0.6616601	0.2053543	0.7626780	0.6776922	0.9839304	0.8472086
500	0.9720058	0.4666805	0.1113497	0.9270900	0.7424335	0.1541902	0.7977161	0.7226121	0.9727582	0.8470462
550	0.9839985	0.2052697	0.1691870	0.9320335	0.8187651	0.6583443	0.8940293	0.6751754	0.9614745	0.9479189
600	0.9526479	0.1335773	0.1944096	0.9635990	0.6556060	0.8042801	1.0574706	0.6906150	0.9616041	0.9835186
650	0.9905659	0.0834897	0.1756317	0.9208156	0.4033073	0.8937443	0.9861109	0.6945677	1.0117880	1.0002820
700	0.9485933	0.0889299	0.1918480	0.7145898	0.2770482	0.8467374	1.0713858	0.6608560	1.0255433	0.9492935
750	0.8404774	0.0891096	0.2301723	0.5909312	0.2377449	0.9663118	1.0236912	0.6999754	1.0313727	0.9148089
800	0.6918605	0.0996031	0.2893168	0.4924474	0.2490620	1.0253847	1.1279824	0.7145801	1.0678872	0.9525136
850	0.7525340	0.1234481	0.3184218	0.4351423	0.2179355	1.0935920	1.0756956	0.6809097	0.9595770	0.8680587
900	0.8648118	0.1195928	0.3117473	0.4814883	0.1737629	0.9755247	1.0211084	0.7762133	1.0402951	0.9905312
950	0.8458741	0.1193599	0.3346699	0.5611469	0.1812444	0.9732960	1.0409365	0.7718989	0.9884848	1.0464158
1000	0.7852562	0.1182571	0.3022806	0.5479701	0.1552686	0.9613380	1.0331998	0.7841469	1.0263572	0.9879628

