YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.0000000	0.5131721	0.6947621	0.1405492	0.2834134	0.8830803	0.2487840	0.3642437	0.1914176	1.0000000
0.0921457	0.0000000	0.6948068	0.1405632	0.2833914	0.8830765	0.2487842	0.3642438	0.1914176	1.0000000
0.9980071	0.6787932	0.0000000	0.6718223	1.0000000	1.0000000	0.0567751	0.7516270	0.1858833	1.0000000
0.9519294	0.5180257	0.6946133	0.0000000	0.2833266	0.8862726	0.2522936	0.3614693	0.1915442	1.0000000
0.9876065	0.6786913	0.0277962	0.0001136	0.0000000	0.9999885	0.2522942	0.3614693	0.1915443	1.0000000
0.0923180	0.0395808	0.9973343	0.6718223	1.0000000	0.0000000	0.0567767	0.7516268	0.1858833	1.0000000
0.0922776	0.0396344	0.9944499	0.5872247	0.8340669	0.1618313	0.0000000	0.6746754	0.1862261	1.0000000
0.0921457	0.6725190	0.6892278	0.1389806	0.2816649	0.9950046	0.9999937	0.0000000	0.4941001	1.0000000
0.9370363	0.4754173	0.6963615	0.1410066	0.2839241	0.8590905	0.2259778	0.3835366	0.0000000	1.0000000
0.9508634	0.6487213	0.6900432	0.1392153	0.2818309	0.9765973	0.5196885	0.2254358	0.7119610	0.0000000
