YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.1324695	0.3477925	0.2394058	0.6651948	0.3403932	0.6626702	0.7241743	0.3346142	0.1470945	0.8691386
0.1733685	0.2130247	0.3886279	0.8234582	0.0371986	0.0545966	0.2120174	0.1225750	0.0897327	0.8128745
0.2133471	0.5243564	0.1259093	0.7408124	0.4234643	0.6585636	0.7065437	0.3719569	0.1089433	0.7240609
0.1918250	0.2392928	0.5499788	0.4379013	0.3821879	0.6876459	0.8841798	0.3670280	0.2127094	0.8040949
0.1496358	0.3315152	0.3101527	0.7389801	0.1269518	0.7992818	0.7508211	0.3494455	0.1388257	0.7285824
0.1579345	0.3103289	0.3854416	0.6900725	0.3069812	0.3350050	0.5252007	0.2513392	0.1172635	0.6101187
0.1639029	0.3240323	0.4511720	0.6720466	0.3870881	0.6199934	0.4019527	0.3169929	0.1531263	0.7381579
0.1983919	0.2567753	0.5044670	0.6833165	0.3557440	0.7702725	0.5461522	0.1999878	0.1437938	0.6379030
0.2199976	0.3182005	0.3657433	0.6657524	0.2031155	0.0225121	0.0364035	0.0405461	0.1098709	0.7020842
0.1263723	0.4180470	0.4114970	0.6545798	0.5027351	0.8130302	0.8503525	0.6137427	0.3419726	0.4272974
