YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0000000	0.9937301	0.0256767	0.0879869	0.1808160	1.0082983	0.0374537	0.0698538	0.8702283	1.0089532
0.9232220	0.0004596	0.0065932	0.0258950	0.6851057	1.0347806	0.0482688	0.0633304	0.8346462	1.0442754
0.1268796	1.0247622	0.0000000	0.2009448	0.2665460	0.9127577	0.0634147	0.0586975	0.8127682	0.9856196
0.0958483	0.9752915	0.0119710	0.0000000	0.2353071	1.0614320	0.0710490	0.0732413	0.9257965	0.9423671
0.0171674	0.9348348	0.0020096	0.0412093	0.0000000	0.9650667	0.0551246	0.0535310	0.8902047	0.9787590
0.9071158	0.7703380	0.2164632	0.5415663	0.6369790	0.0000000	0.2233300	0.3655312	0.8576718	1.0940135
0.0499814	0.9531810	0.0147677	0.0686164	0.2589694	1.0317915	0.0000000	0.0613414	0.9369181	1.1358004
0.1061464	0.9718818	0.0252006	0.1066391	0.2406709	1.0602530	0.0375499	0.0000000	0.8488725	1.0138483
0.1047512	1.0426660	0.0186759	0.1144079	0.2801439	1.0668255	0.0480403	0.0475026	0.0000000	0.9509731
0.1489993	1.0181775	0.0410113	0.1463759	0.3291262	1.0611047	0.0796365	0.0318988	0.0247206	0.0000000
