YIR023W	YKL112W	YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W
0.0000000	0.7445584	0.5054306	0.1414865	0.0510881	0.6278597	0.5252711	0.3564082	0.3492329	0.4612217
0.0046054	0.0000000	0.7828938	0.1363465	0.0521961	0.5361334	0.4956707	0.3007618	0.2354568	0.5396966
0.6574910	0.6469776	0.0000000	0.0891034	0.0782328	0.7182653	0.4173883	0.4886927	0.2503418	0.6397010
0.8079742	0.6929822	0.6762519	0.0000000	0.0065594	0.6795998	0.7908859	0.2479112	0.5773714	0.1940607
0.6934872	0.7974972	0.8562283	0.1103425	0.0000000	0.5655186	0.4419908	0.3844774	0.3219689	0.4797832
0.6439044	0.7798233	0.5745079	0.1598083	0.1139989	0.0000000	0.4731608	0.4024296	0.3615252	0.4198779
0.5120216	0.6958097	0.6109564	0.1588370	0.0154553	0.6190051	0.0000000	0.2962651	0.3552866	0.3705985
0.7019414	0.6385655	0.7355423	0.1583511	0.0819034	0.6664482	0.6527797	0.0004582	0.3302669	0.5640364
0.5523151	0.6365037	0.7179841	0.2164026	0.6665540	0.0068382	0.1889104	0.7233384	0.0000000	0.5357283
0.6458654	0.5662942	0.7528760	0.6558519	0.0199483	0.7427778	0.6384692	0.2713465	0.6087179	0.0000000
