YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000000	0.9802932	0.9190036	0.1300825	0.1720347	1.1016444	1.0469569	0.6983460	0.4827906	1.0283020
0.0139271	0.0000000	0.8010212	0.1689950	0.1776502	1.0082022	0.8627058	0.3112713	0.9170448	1.0638750
0.0809643	0.0577236	0.0000000	0.1108007	0.1516366	1.0328438	1.0415366	0.3843400	0.8498956	1.0076537
0.9500792	1.0601703	0.8677196	0.0000000	0.1114185	1.0154154	0.9153167	0.6751857	0.5290289	1.0121491
0.9966510	0.9654095	0.9561911	0.1154166	0.0000000	1.0167882	0.9479776	0.6724909	0.5853065	0.8897750
0.0584204	0.0413276	0.1066236	0.8811038	1.0615275	0.0000000	0.6481475	0.3707917	0.9518172	1.0122320
0.0402432	0.0466887	0.0823117	0.7853026	1.0134760	0.0106670	0.0000000	0.4356707	0.8781673	1.0819991
1.0217097	0.9012676	0.9367251	0.1320413	0.1606404	0.9416223	0.9933477	0.0000000	0.5965154	0.9868530
0.9277744	1.0277274	0.7334734	0.1317826	0.1681505	1.0288964	1.0119879	1.0476288	0.0000000	0.9621816
0.0739072	0.0582241	0.1454579	0.7604493	0.9054480	0.0389795	0.0114894	0.6509938	0.6163518	0.0000000
