YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.1053809	0.9777293	0.6233912	0.3348091	0.6608877	0.9752646	0.2225645	0.5075228	1.0083102	1.0208166
0.4598300	0.4829610	0.5639148	0.4195739	0.7228016	1.0216758	0.4604056	0.2678178	0.9830684	0.9843014
0.2795617	1.0357034	0.3512560	0.5108499	0.7069044	0.9285463	0.2022805	0.3610484	1.1031710	0.9243774
0.2073878	0.9745320	0.2779372	0.2464062	0.6805041	1.0026985	0.2345346	0.4819923	1.0008076	1.0219333
0.2246088	1.0250508	0.9547338	0.8024948	0.3302444	1.0001824	0.2569630	0.4776320	1.0157779	1.0399774
0.2998081	1.0982620	0.9154503	1.0358733	0.1848509	0.5482542	0.2643941	0.4233751	1.0142093	1.0554995
0.2140389	0.9829050	0.6985307	0.4255393	0.7475132	1.0278043	0.1126847	0.4449537	1.0117600	1.0329858
0.1905150	0.9608758	0.5612823	0.4317840	0.7618689	1.0988087	0.4821051	0.2474758	1.0721596	1.0440896
0.2171900	0.9738420	0.6621556	0.3672543	0.7167436	1.0046518	0.1460621	0.5813225	0.4999990	1.0818933
0.2259228	1.0313644	0.6418964	0.4145801	0.7260477	1.0470033	0.2969037	0.5022092	1.0712413	0.5133866
