"Time"	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W

0	0.2300985	0.5993156	0.4534830	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003506	1.0000000
50	0.2299876	0.5977950	0.4505668	0.0460786	0.1331356	0.1737885	1.0000000	0.8688711	0.0002933	1.0000000
100	0.2286671	0.5873211	0.4303191	0.0460953	0.1649551	0.0566593	1.0000000	0.7314563	0.0002415	1.0000000
150	0.2232793	0.5683817	0.3941164	0.0461369	0.1775357	0.0200606	1.0000000	0.6605264	0.0002185	1.0000000
200	0.2131775	0.5484847	0.3569783	0.0461830	0.1817861	0.0106301	1.0000000	0.6301776	0.0002099	1.0000000
250	0.2008933	0.5329404	0.3286743	0.0462163	0.1831403	0.0084051	1.0000000	0.6182822	0.0002070	1.0000000
300	0.1894825	0.5228372	0.3106408	0.0462351	0.1835609	0.0079056	1.0000000	0.6138485	0.0002060	1.0000000
350	0.1806272	0.5170270	0.3004130	0.0462443	0.1836900	0.0077969	1.0000000	0.6122485	0.0002057	1.0000000
400	0.1745721	0.5139601	0.2950575	0.0462484	0.1837294	0.0077737	1.0000000	0.6116836	0.0002056	1.0000000
450	0.1708009	0.5124393	0.2924095	0.0462501	0.1837414	0.0077688	1.0000000	0.6114874	0.0002056	1.0000000
500	0.1686146	0.5117200	0.2911546	0.0462507	0.1837451	0.0077678	1.0000000	0.6114200	0.0002056	1.0000000
550	0.1675105	0.5149883	0.2969430	0.0462296	0.1441887	0.1816827	1.0000000	0.7425260	0.0002626	1.0000000
600	0.1689470	0.5329220	0.3297688	0.0461654	0.1123627	0.2988119	1.0000000	0.8799331	0.0003144	1.0000000
650	0.1757920	0.5560206	0.3727092	0.0461174	0.0997852	0.3354106	1.0000000	0.9508604	0.0003373	1.0000000
700	0.1872463	0.5744337	0.4070334	0.0460935	0.0955398	0.3448410	1.0000000	0.9812083	0.0003459	1.0000000
750	0.1998222	0.5861878	0.4289305	0.0460834	0.0941887	0.3470660	1.0000000	0.9931034	0.0003488	1.0000000
800	0.2106052	0.5927987	0.4412480	0.0460795	0.0937695	0.3475656	1.0000000	0.9975370	0.0003498	1.0000000
850	0.2184536	0.5962235	0.4476449	0.0460780	0.0936409	0.3476743	1.0000000	0.9991370	0.0003501	1.0000000
900	0.2235390	0.5978976	0.4507886	0.0460775	0.0936017	0.3476974	1.0000000	0.9997018	0.0003502	1.0000000
950	0.2265616	0.5986811	0.4522723	0.0460773	0.0935897	0.3477023	1.0000000	0.9998980	0.0003502	1.0000000
1000	0.2282427	0.5990357	0.4529515	0.0460773	0.0935861	0.3477033	1.0000000	0.9999654	0.0003502	1.0000000

0	0.2300985	0.5993156	0.4534830	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003506	1.0000000
50	0.2106555	0.5993107	0.4953838	0.2886189	0.0701340	0.3477036	1.0000000	1.0000000	0.0002185	1.0000000
100	0.1892713	0.5993088	0.6425609	0.5283192	0.0793125	0.3477036	1.0000000	1.0000000	0.0000989	1.0000000
150	0.1776180	0.5993080	0.7640166	0.6444881	0.1245979	0.3477036	1.0000000	1.0000000	0.0000458	1.0000000
200	0.1723625	0.5993077	0.8334144	0.6912913	0.1612387	0.3477036	1.0000000	1.0000000	0.0000261	1.0000000
250	0.1701963	0.5993076	0.8678785	0.7086324	0.1810009	0.3477036	1.0000000	1.0000000	0.0000193	1.0000000
300	0.1693493	0.5993076	0.8838271	0.7147732	0.1900117	0.3477036	1.0000000	1.0000000	0.0000170	1.0000000
350	0.1690295	0.5993076	0.8909103	0.7168920	0.1937799	0.3477036	1.0000000	1.0000000	0.0000163	1.0000000
400	0.1689116	0.5993076	0.8939749	0.7176120	0.1952760	0.3477036	1.0000000	1.0000000	0.0000161	1.0000000
450	0.1688690	0.5993076	0.8952776	0.7178546	0.1958497	0.3477036	1.0000000	1.0000000	0.0000160	1.0000000
500	0.1688537	0.5993076	0.8958246	0.7179359	0.1960642	0.3477036	1.0000000	1.0000000	0.0000160	1.0000000
550	0.1882294	0.5993076	0.8953311	0.4755164	0.2129885	0.3477036	1.0000000	1.0000000	0.0001478	1.0000000
600	0.2095844	0.5993076	0.8851497	0.2359423	0.1829510	0.3477036	1.0000000	1.0000000	0.0002674	1.0000000
650	0.2212254	0.5993076	0.8349101	0.1197067	0.1354463	0.3477036	1.0000000	1.0000000	0.0003204	1.0000000
700	0.2264756	0.5993076	0.7295703	0.0727991	0.1092338	0.3477036	1.0000000	1.0000000	0.0003402	1.0000000
750	0.2286397	0.5993076	0.6197152	0.0554058	0.0988858	0.3477036	1.0000000	1.0000000	0.0003469	1.0000000
800	0.2294858	0.5993076	0.5421887	0.0492545	0.0953022	0.3477036	1.0000000	1.0000000	0.0003492	1.0000000
850	0.2298053	0.5993076	0.4973441	0.0471417	0.0941299	0.3477036	1.0000000	1.0000000	0.0003499	1.0000000
900	0.2299230	0.5993076	0.4741029	0.0464298	0.0937561	0.3477036	1.0000000	1.0000000	0.0003501	1.0000000
950	0.2299656	0.5993076	0.4628417	0.0461931	0.0936383	0.3477036	1.0000000	1.0000000	0.0003502	1.0000000
1000	0.2299808	0.5993076	0.4576240	0.0461151	0.0936014	0.3477036	1.0000000	1.0000000	0.0003502	1.0000000

0	0.2300985	0.5993156	0.4534830	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003506	1.0000000
50	0.2299587	0.5968509	0.4942025	0.0728189	0.0936091	0.3477036	1.0000000	0.7971780	0.0002576	1.0000000
100	0.2277487	0.5779777	0.5302241	0.0992472	0.0938121	0.3477036	1.0000000	0.5846332	0.0001734	1.0000000
150	0.2180244	0.5392031	0.5309107	0.1120555	0.0941991	0.3477036	1.0000000	0.4749231	0.0001361	1.0000000
200	0.1988864	0.4939508	0.5140489	0.1172155	0.0945740	0.3477036	1.0000000	0.4279815	0.0001222	1.0000000
250	0.1752939	0.4559214	0.4965100	0.1191261	0.0948256	0.3477036	1.0000000	0.4095824	0.0001174	1.0000000
300	0.1536957	0.4299766	0.4841008	0.1198012	0.0949617	0.3477036	1.0000000	0.4027247	0.0001159	1.0000000
350	0.1374188	0.4145628	0.4767173	0.1200329	0.0950261	0.3477036	1.0000000	0.4002498	0.0001153	1.0000000
400	0.1266485	0.4062412	0.4727436	0.1201109	0.0950540	0.3477036	1.0000000	0.3993762	0.0001152	1.0000000
450	0.1201374	0.4020476	0.4707414	0.1201368	0.0950654	0.3477036	1.0000000	0.3990727	0.0001151	1.0000000
500	0.1164524	0.4000402	0.4697787	0.1201454	0.0950698	0.3477036	1.0000000	0.3989685	0.0001151	1.0000000
550	0.1146237	0.4093414	0.4338290	0.0934065	0.0949298	0.3477036	1.0000000	0.6017550	0.0002078	1.0000000
600	0.1169852	0.4556473	0.4137912	0.0669791	0.0944146	0.3477036	1.0000000	0.8142879	0.0002920	1.0000000
650	0.1286930	0.5098232	0.4200778	0.0541710	0.0939764	0.3477036	1.0000000	0.9239939	0.0003293	1.0000000
700	0.1492809	0.5498991	0.4319413	0.0490112	0.0937466	0.3477036	1.0000000	0.9709342	0.0003431	1.0000000
750	0.1727160	0.5740830	0.4412859	0.0471005	0.0936472	0.3477036	1.0000000	0.9893328	0.0003479	1.0000000
800	0.1931924	0.5871172	0.4471002	0.0464255	0.0936079	0.3477036	1.0000000	0.9961903	0.0003495	1.0000000
850	0.2081857	0.5936519	0.4503188	0.0461938	0.0935931	0.3477036	1.0000000	0.9986652	0.0003500	1.0000000
900	0.2178822	0.5967656	0.4519765	0.0461158	0.0935876	0.3477036	1.0000000	0.9995388	0.0003502	1.0000000
950	0.2236090	0.5981937	0.4527887	0.0460899	0.0935856	0.3477036	1.0000000	0.9998423	0.0003502	1.0000000
1000	0.2267672	0.5988296	0.4531721	0.0460814	0.0935849	0.3477036	1.0000000	0.9999465	0.0003502	1.0000000

0	0.2300985	0.5993156	0.4534830	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003506	1.0000000
50	0.2838661	0.6111020	0.5520243	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003989	0.7292018
100	0.3466265	0.6252179	0.6682056	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0010450	0.4583974
150	0.3852040	0.6336797	0.7371205	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0040950	0.3258680
200	0.4058836	0.6378874	0.7712778	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0113772	0.2721576
250	0.4163857	0.6398041	0.7868887	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0209239	0.2522269
300	0.4215473	0.6406404	0.7937135	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0290005	0.2451965
350	0.4240198	0.6410076	0.7966182	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0341306	0.2427959
400	0.4251819	0.6411798	0.7978335	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0368425	0.2419944
450	0.4257236	0.6412676	0.7983362	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0381135	0.2417310
500	0.4259775	0.6413148	0.7985426	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0386623	0.2416456
550	0.3745203	0.6295479	0.7000885	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0310148	0.5124163
600	0.3130798	0.6154043	0.5839426	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0152758	0.7832118
650	0.2739558	0.6068986	0.5150421	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0062728	0.9157385
700	0.2522243	0.6026613	0.4808907	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0025015	0.9694480
750	0.2408599	0.6007304	0.4652822	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0010980	0.9893784
800	0.2351519	0.5998949	0.4584583	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0006041	0.9964088
850	0.2323786	0.5995453	0.4555540	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0004353	0.9988093
900	0.2310698	0.5994024	0.4543388	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003785	0.9996108
950	0.2304679	0.5993450	0.4538362	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003596	0.9998742
1000	0.2301974	0.5993222	0.4536298	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003533	0.9999596

0	0.2300985	0.5993156	0.4534830	0.0460772	0.0935845	0.3477036	1.0000000	1.0000000	0.0003506	1.0000000
50	0.2898039	0.7013266	0.4976193	0.3260423	0.0958282	0.3477036	1.0000000	0.8783473	0.0002543	1.0000000
100	0.3895667	0.8201014	0.6320420	0.6027279	0.1341842	0.3477036	1.0000000	0.7508630	0.0001671	1.0000000
150	0.4868799	0.8864682	0.7225130	0.7368267	0.1949880	0.3477036	1.0000000	0.6850588	0.0001284	1.0000000
200	0.5606979	0.9155378	0.7597193	0.7908827	0.2355417	0.3477036	1.0000000	0.6569032	0.0001140	1.0000000
250	0.6071097	0.9263624	0.7698799	0.8109666	0.2553869	0.3477036	1.0000000	0.6458675	0.0001091	1.0000000
300	0.6325508	0.9297955	0.7704758	0.8181313	0.2638972	0.3477036	1.0000000	0.6417543	0.0001074	1.0000000
350	0.6451017	0.9306487	0.7689034	0.8206367	0.2673122	0.3477036	1.0000000	0.6402698	0.0001069	1.0000000
400	0.6507738	0.9307431	0.7674540	0.8215050	0.2686311	0.3477036	1.0000000	0.6397458	0.0001067	1.0000000
450	0.6531403	0.9306751	0.7665308	0.8218051	0.2691280	0.3477036	1.0000000	0.6395638	0.0001067	1.0000000
500	0.6540501	0.9306056	0.7660247	0.8219088	0.2693121	0.3477036	1.0000000	0.6395013	0.0001067	1.0000000
550	0.6135949	0.8184812	0.7703364	0.5426016	0.2625910	0.3477036	1.0000000	0.7611326	0.0002027	1.0000000
600	0.5191759	0.6962985	0.7890165	0.2662165	0.2130528	0.3477036	1.0000000	0.8886098	0.0002899	1.0000000
650	0.4118411	0.6340509	0.7817922	0.1316728	0.1497336	0.3477036	1.0000000	0.9544115	0.0003285	1.0000000
700	0.3288179	0.6093644	0.7097459	0.0771973	0.1146343	0.3477036	1.0000000	0.9825663	0.0003429	1.0000000
750	0.2779319	0.6012059	0.6144093	0.0569539	0.1007153	0.3477036	1.0000000	0.9936018	0.0003478	1.0000000
800	0.2511268	0.5990808	0.5413070	0.0497847	0.0958914	0.3477036	1.0000000	0.9977150	0.0003495	1.0000000
850	0.2384990	0.5987999	0.4974568	0.0473200	0.0943152	0.3477036	1.0000000	0.9991994	0.0003500	1.0000000
