YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.6800784	0.3400678	0.4645999	0.7503954	0.6710257	0.2299476	0.8288182	0.5938270	0.8945996	1.0000000
0.4732103	0.0871450	0.4158963	0.5532378	0.9745950	0.1285186	0.9282919	0.4702005	0.7814229	0.9538549
0.5003367	0.8853827	0.5289333	0.8535256	0.2768391	0.3202737	0.6558751	0.4398886	0.7117558	1.0000000
0.5712088	0.1611593	0.3714275	0.6191213	0.8633710	0.1309697	0.5685712	0.5675936	0.7117558	1.0000000
0.6062369	0.2430573	0.4153190	0.6785098	0.7737589	0.2089499	0.8962145	0.5034278	0.6668822	0.7233258
0.6380402	0.2416867	0.4041338	0.6630680	0.7754269	0.2085612	0.8976204	0.2935236	0.5303293	0.8009924
0.9527993	0.8324805	0.2699259	0.4897555	0.0121684	0.5265316	0.4209218	0.5231398	0.8275371	0.9797825
0.4227425	0.7597359	0.6550790	0.8204704	0.3902512	0.2735580	0.7298811	0.3302441	0.6669257	0.9401467
0.4839907	0.1305161	0.4699666	0.5408008	0.9975246	0.0802208	0.8456316	0.6414739	0.8029423	1.0000000
0.8408805	0.9157567	0.6055248	0.9978491	0.1078148	0.4247875	0.4335748	0.1937115	0.5497834	0.8182851
