YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.0000000	0.4203495	0.5325589	0.0544259	0.2139486	0.5799531	0.1356334	0.1994821	0.1704577	0.6213586
0.0581568	0.0000000	0.5791144	0.1254084	0.2493199	0.7176824	0.1922522	0.2632199	0.1647893	0.8180780
0.6643293	0.6152043	0.0000000	0.4045892	0.7059107	0.9367370	0.0281077	0.5067147	0.2062331	0.8441629
0.6922091	0.4981745	0.4957291	0.0000000	0.2270736	0.6912414	0.1478195	0.2731798	0.1852122	0.7149307
0.6692333	0.5215523	0.0270979	0.0001872	0.0000000	0.7108696	0.3039972	0.3077441	0.1218979	0.7321059
0.0994757	0.0502938	0.7513567	0.4489655	0.7248280	0.0000000	0.0106361	0.5673215	0.0913399	0.7753035
0.0892397	0.0612816	0.8168323	0.5170174	0.5351771	0.0723059	0.0000000	0.5584126	0.1075049	0.6814216
0.0391795	0.5595008	0.6560296	0.1430363	0.2457514	0.7830506	0.7517751	0.0000000	0.2936469	0.6797265
0.5543324	0.3003713	0.5103968	0.1213467	0.1497032	0.5753417	0.1225624	0.2783184	0.0000000	0.7879000
0.7582369	0.5128730	0.5212714	0.1546358	0.2761685	0.8220660	0.4808077	0.1387434	0.4455801	0.0000000
