YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.8331897	0.1961793	0.4892153	0.1239363	1.0407451	0.9523929	0.4075167	0.5755256	0.1872226	0.5962443
0.9413267	0.0374667	0.3029931	0.1834358	0.9152704	0.7460086	0.1539263	0.6282496	0.0299054	0.9536879
0.6069377	0.0912827	0.3865929	0.4416718	0.7667770	0.3481713	0.0218565	0.8030196	0.0151489	0.9933653
0.9679762	0.1188897	0.7262326	0.2489135	0.9984997	1.0781212	0.3297794	0.5312172	0.0905522	0.9748940
1.0381875	0.0453435	0.4409204	0.2449975	1.0856407	0.9585850	0.1195613	0.5897096	0.0268600	0.9752018
0.6154872	0.0929515	0.6067352	0.1681751	0.8373866	0.8551939	0.1667328	0.7464507	0.0753261	1.0259505
0.8968800	0.1317631	0.6439106	0.2596806	0.9247530	1.0196889	0.3138351	0.5090718	0.0696544	1.0432667
0.9843326	0.1274847	0.5212429	0.3015594	0.9213815	1.0052368	0.2911226	0.5339409	0.0866598	0.9476588
0.4189138	0.0296952	0.4108757	0.2511120	0.9289422	0.8990011	0.6666688	0.5616096	0.0334620	1.0819250
1.0193743	0.0348326	0.6565504	0.2641585	0.9737866	0.9064771	0.1305265	0.6378496	0.0457484	0.9657862
