YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0130669	0.0504217	0.0218149	0.5975666	0.3853573	0.7173403	0.7222051	0.6904663	0.0504261	0.0825712
0.0103249	0.0444460	0.0171395	0.5540113	0.5708138	0.6344621	0.6918666	0.6991819	0.0591960	0.0821224
0.0628639	0.0410249	0.0226358	0.4568065	0.4656942	0.5712096	0.8507714	0.7301618	0.0358721	0.1272247
0.1064112	0.1832573	0.2078161	0.2441003	0.4637174	0.6637882	0.7395585	0.7401950	0.0884947	0.0907621
0.0199047	0.0671711	0.0125798	0.5115977	0.2083070	0.7649943	0.7634693	0.8333753	0.0499648	0.0908042
0.0326710	0.0682060	0.0050103	0.6871442	0.0232562	0.3309618	0.8110034	0.7715764	0.0567191	0.0536712
0.0589249	0.0825257	0.0307012	0.6607804	0.0300119	0.4092940	0.3082359	0.8840878	0.0520540	0.0611768
0.0282629	0.0543642	0.0216168	0.4533497	0.2139450	0.5940391	0.7233783	0.4023665	0.0237763	0.0427521
0.0128704	0.0869076	0.0408542	0.5312942	0.3827368	0.6780635	0.7105912	0.6968106	0.0050605	0.0403287
0.0333593	0.0335909	0.0373356	0.4265103	0.3117484	0.5947086	0.7357116	0.6699225	0.0408780	0.0312418
