"Time"	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W

0	0.1120969	0.6717244	0.5059292	0.3792568	0.4764480	0.1408936	0.3250351	0.5956366	0.5426384	0.0568002
50	0.1120790	0.6721047	0.5051802	0.3704835	0.3444978	0.1383545	0.3249269	0.5955672	0.5428192	0.0564934
100	0.1120455	0.6728817	0.4957299	0.3266147	0.1944275	0.1356280	0.3218857	0.5957267	0.5431031	0.0548800
150	0.1119591	0.6773806	0.4621342	0.2738705	0.1101904	0.1331113	0.3105690	0.5961036	0.5438479	0.0523509
200	0.1116022	0.6925808	0.4076253	0.2381756	0.0731455	0.1290458	0.2914165	0.5973126	0.5470007	0.0493270
250	0.1105441	0.7235274	0.3509236	0.2213872	0.0620497	0.1231683	0.2704559	0.6016549	0.5563278	0.0454564
300	0.1084488	0.7669402	0.3071952	0.2186843	0.0639160	0.1168234	0.2532967	0.6128923	0.5747748	0.0406388
350	0.1054530	0.8123546	0.2822737	0.2264642	0.0708949	0.1114206	0.2423923	0.6333355	0.6011283	0.0354947
400	0.1021232	0.8495144	0.2760278	0.2415380	0.0779907	0.1076018	0.2376831	0.6609345	0.6302167	0.0308418
450	0.0990836	0.8728394	0.2853091	0.2599337	0.0823799	0.1053655	0.2377863	0.6902361	0.6562793	0.0271822
500	0.0967513	0.8809911	0.3050636	0.2775669	0.0830955	0.1044171	0.2408263	0.7159172	0.6755313	0.0246294
550	0.0953039	0.8753387	0.3297307	0.2988387	0.2524841	0.1069187	0.2451541	0.7349580	0.6864771	0.0231715
600	0.0947540	0.8585546	0.3628115	0.3522712	0.4348203	0.1100984	0.2522231	0.7465290	0.6891826	0.0230625
650	0.0950500	0.8301445	0.4158924	0.4134168	0.5198377	0.1128218	0.2656918	0.7509757	0.6842614	0.0239690
700	0.0962366	0.7875453	0.4794941	0.4515252	0.5346423	0.1161507	0.2828110	0.7487155	0.6712856	0.0254546
750	0.0984869	0.7364251	0.5340868	0.4626450	0.5157082	0.1205641	0.2982288	0.7391643	0.6489191	0.0275240
800	0.1018309	0.6889232	0.5686874	0.4534879	0.4886259	0.1255426	0.3091773	0.7207268	0.6180209	0.0304094
850	0.1058951	0.6540794	0.5817724	0.4323987	0.4660540	0.1301553	0.3155989	0.6925709	0.5833873	0.0341638
900	0.1099619	0.6345494	0.5768145	0.4071106	0.4520064	0.1337272	0.3187318	0.6568760	0.5516797	0.0384603
950	0.1132864	0.6285919	0.5594223	0.3838831	0.4464929	0.1360929	0.3200333	0.6193586	0.5281197	0.0427118
1000	0.1154009	0.6327206	0.5360240	0.3667642	0.4481181	0.1374763	0.3206503	0.5871400	0.5148476	0.0463730

0	0.1120969	0.6717244	0.5059292	0.3792568	0.4764480	0.1408936	0.3250351	0.5956366	0.5426384	0.0568002
50	0.1120799	0.6717016	0.5225381	0.5447530	0.3847826	0.1787456	0.3274854	0.7315696	0.5428105	0.0706335
100	0.1121213	0.6646823	0.5920805	0.6460679	0.2734722	0.2181611	0.3339576	0.8359123	0.5424001	0.1197971
150	0.1126208	0.6450928	0.6654800	0.6633156	0.1958704	0.2397352	0.3368396	0.8735392	0.5379789	0.1998462
200	0.1140290	0.6209777	0.7128443	0.6523826	0.1461765	0.2498534	0.3358755	0.8833655	0.5264258	0.2818438
250	0.1162707	0.6014416	0.7349016	0.6360730	0.1164381	0.2538540	0.3332365	0.8827264	0.5094937	0.3457287
300	0.1187898	0.5898822	0.7408134	0.6210192	0.1000446	0.2548405	0.3304320	0.8777430	0.4920520	0.3872563
350	0.1209723	0.5854435	0.7385201	0.6089493	0.0919427	0.2545287	0.3281450	0.8713744	0.4782482	0.4104719
400	0.1224634	0.5856392	0.7330429	0.6002748	0.0886365	0.2538120	0.3265442	0.8655781	0.4697546	0.4214058
450	0.1232259	0.5880206	0.7271533	0.5948148	0.0878890	0.2531035	0.3255444	0.8614406	0.4661053	0.4252272
500	0.1234275	0.5908644	0.7222019	0.5919857	0.0883449	0.2525514	0.3249741	0.8591880	0.4657939	0.4255092
550	0.1232982	0.5933435	0.7050269	0.4020275	0.1768181	0.2143589	0.3240910	0.6839718	0.4672134	0.4069328
600	0.1230072	0.5977580	0.6203996	0.2840425	0.2836030	0.1750827	0.3170220	0.5514171	0.4693680	0.3329268
650	0.1224243	0.6129663	0.5047039	0.2653831	0.3611484	0.1528922	0.3040183	0.5059054	0.4735260	0.2372719
700	0.1209368	0.6468901	0.4232184	0.2837964	0.4260873	0.1403754	0.2960943	0.4982520	0.4845333	0.1590543
750	0.1179954	0.6924171	0.3923834	0.3147718	0.4833983	0.1335819	0.2977012	0.5106243	0.5068699	0.1069516
800	0.1139741	0.7307528	0.4005173	0.3497919	0.5233368	0.1311223	0.3058260	0.5393479	0.5377839	0.0759163
850	0.1099981	0.7483598	0.4308299	0.3823374	0.5389275	0.1318935	0.3155110	0.5779355	0.5679414	0.0591523
900	0.1071088	0.7436066	0.4687654	0.4066618	0.5335437	0.1345205	0.3230990	0.6153234	0.5884596	0.0514917
950	0.1058131	0.7235365	0.5037392	0.4196635	0.5164479	0.1375755	0.3272684	0.6422048	0.5953400	0.0494247
1000	0.1060839	0.6979338	0.5295402	0.4214337	0.4964908	0.1400160	0.3284638	0.6545009	0.5896114	0.0504606

0	0.1120969	0.6717244	0.5059292	0.3792568	0.4764480	0.1408936	0.3250351	0.5956366	0.5426384	0.0568002
50	0.1130310	0.5709598	0.5055692	0.3787839	0.4734502	0.1504314	0.4778024	0.5948071	0.5343192	0.0571851
100	0.1207332	0.4394719	0.5045132	0.3709748	0.4690633	0.2309119	0.6656318	0.5765404	0.4789162	0.0764207
150	0.1383879	0.3545958	0.4977151	0.3458313	0.4574276	0.3788641	0.7816666	0.5043240	0.3873617	0.2157022
200	0.1623720	0.3127431	0.4769473	0.3058730	0.4187341	0.5188114	0.8416204	0.3781156	0.3011371	0.4713973
250	0.1854848	0.2988467	0.4374566	0.2585600	0.3569269	0.6159047	0.8706766	0.2477688	0.2414178	0.6930383
300	0.2019734	0.3008673	0.3805257	0.2111937	0.3014426	0.6735845	0.8840296	0.1546350	0.2084690	0.8334914
350	0.2100354	0.3117186	0.3136547	0.1723983	0.2707901	0.7048309	0.8886565	0.1027646	0.1951885	0.9105812
400	0.2108242	0.3277387	0.2490098	0.1481985	0.2675146	0.7202182	0.8882068	0.0793402	0.1947670	0.9497958
450	0.2066032	0.3456645	0.1977018	0.1397455	0.2849630	0.7265142	0.8856189	0.0726514	0.2024767	0.9688631
500	0.1997904	0.3617648	0.1653121	0.1443189	0.3119144	0.7280236	0.8832632	0.0759031	0.2147480	0.9778407
550	0.1886791	0.5187553	0.1520252	0.1572444	0.3407088	0.7127809	0.7196192	0.0862883	0.2415935	0.9818950
600	0.1641870	0.7162749	0.1552631	0.1791982	0.3723667	0.6098825	0.5249996	0.1254881	0.3372361	0.9822756
650	0.1373022	0.8451868	0.1759321	0.2241171	0.4359746	0.4465872	0.4128031	0.2483982	0.4709808	0.9719942
