"Time"	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C

0	0.9855691	0.0887691	0.7197490	0.6971820	0.7831840	0.5814520	0.4510278	0.8489106	0.9434150	0.0423190
50	0.8719621	0.0560768	0.6900207	0.7491352	0.7389425	0.5639887	0.3608720	0.8336487	0.2685060	0.0113990
100	0.9209704	0.0733128	0.6883331	0.6561736	0.7330156	0.5826236	0.3696965	0.7235628	0.2103632	0.0057930
150	0.9073459	0.0722580	0.6429887	0.6395406	0.7360930	0.5421920	0.3285684	0.6938654	0.1891126	0.0016412
200	0.8636855	0.0756250	0.6681301	0.6245078	0.6998733	0.4610764	0.3875790	0.6660794	0.2111156	0.0004816
250	0.8730384	0.0511478	0.6173879	0.6561389	0.6771543	0.5845794	0.5094949	0.6480976	0.2158199	0.0002019
300	1.0194715	0.0539638	0.6226133	0.6742629	0.7078762	0.5505536	0.4572682	0.6033406	0.1999965	0.0009664
350	0.9432023	0.0740740	0.6371769	0.6612414	0.7084625	0.5035966	0.4336601	0.5158186	0.2203786	0.0019679
400	0.9153310	0.0551581	0.6189865	0.6267384	0.6678844	0.4966925	0.4775005	0.5365801	0.2284046	0.0000000
450	0.8188333	0.0584957	0.6369966	0.5737548	0.6634301	0.5078674	0.5462572	0.5703458	0.2186064	0.0001259
500	0.9577563	0.0679419	0.6617583	0.5543242	0.7788411	0.5790086	0.4549430	0.5074283	0.2238846	0.0001232
550	0.9451233	0.0698655	0.6860822	0.6405654	0.8016178	0.5967781	0.6064680	0.2621799	1.0862346	0.0123937
600	0.9072096	0.0695834	0.6851789	0.6235802	0.6814925	0.6782351	0.6824355	0.4060298	1.0022801	0.0391972
650	0.9946762	0.0687626	0.7075124	0.6721129	0.7035766	0.7340420	0.6819678	0.6438789	1.0031874	0.0617897
700	0.9685506	0.0919023	0.6979712	0.6320183	0.5977728	0.6286604	0.7074440	0.6717959	0.9114013	0.0297565
750	0.9308700	0.0926950	0.7037507	0.5585211	0.6089324	0.6370657	0.5241153	0.7382129	0.9379176	0.0380439
800	0.8900373	0.1006031	0.6554738	0.5909267	0.6774541	0.5768038	0.4882976	0.8214909	1.0192539	0.0411135
850	0.8379428	0.0901199	0.6669319	0.6467928	0.7228732	0.5593349	0.4080164	0.7796277	0.9116122	0.0322791
900	0.8770023	0.0585746	0.7096092	0.6539345	0.8109450	0.5769339	0.4179783	0.7868729	0.9741370	0.0320334
950	1.0014216	0.0766558	0.8068843	0.7123488	0.7427255	0.5032519	0.4527875	0.7284521	0.9206016	0.0533586
1000	0.9219069	0.0676404	0.7335589	0.7299336	0.8264739	0.5025160	0.4802242	0.7348424	0.9939304	0.0471230

0	0.9855691	0.0887691	0.7197490	0.6971820	0.7831840	0.5814520	0.4510278	0.8489106	0.9434150	0.0423190
50	0.8929084	0.0719629	0.6289741	0.8689985	0.7147079	0.7463923	0.2215658	0.7625190	0.9788349	0.0114312
100	0.9540725	0.0859879	0.7002086	0.9264535	0.5781649	0.8391995	0.1874475	0.6958599	1.0620540	0.0147119
150	0.8748440	0.0911940	0.7292577	1.0199058	0.5513518	0.8171957	0.1876665	0.8657888	1.0016153	0.0227957
200	0.9550028	0.0864123	0.6588701	0.9490767	0.4609873	0.7738606	0.1635609	0.8199628	1.0354036	0.0116805
250	0.9626573	0.0864014	0.6417836	1.0094178	0.4641065	0.7642186	0.1988823	0.7035926	1.0526091	0.0148189
300	0.9407167	0.0828253	0.6024165	0.9516114	0.4234454	0.7688241	0.2336605	0.7385939	0.9611112	0.0112093
350	0.9732838	0.0629098	0.6308092	0.8535641	0.5165511	0.7390059	0.1937318	0.8118888	0.9770016	0.0118011
