"Time"	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C

0	0.2142031	0.9907836	0.6400122	0.4161804	0.6620912	0.9995834	0.2357283	0.4688860	0.9996786	1.0000000
50	0.1740167	0.9907588	0.6355812	0.3852442	0.8601925	0.9995808	0.2351582	0.4779912	0.9994891	0.4461595
100	0.1580045	0.9905625	0.5895336	0.3259258	0.9149028	0.9995296	0.2306251	0.4925887	0.9979652	0.2508319
150	0.1516598	0.9894374	0.4936781	0.2887149	0.9300057	0.9992284	0.2238044	0.5006254	0.9910779	0.1819440
200	0.1492958	0.9862147	0.3934027	0.2715260	0.9341429	0.9980257	0.2182764	0.5044849	0.9720904	0.1576487
250	0.1487997	0.9796318	0.3192436	0.2645209	0.9351518	0.9936466	0.2147434	0.5070023	0.9435256	0.1490803
300	0.1495088	0.9689717	0.2735152	0.2618947	0.9349630	0.9805232	0.2124948	0.5092139	0.9182922	0.1460584
350	0.1512800	0.9551704	0.2481580	0.2610947	0.9335995	0.9529719	0.2108948	0.5108658	0.9028523	0.1449927
400	0.1539885	0.9408944	0.2352118	0.2612288	0.9305413	0.9153061	0.2097682	0.5114980	0.8952730	0.1446168
450	0.1572863	0.9289042	0.2294382	0.2620972	0.9258028	0.8807984	0.2091764	0.5110785	0.8919878	0.1444842
500	0.1606460	0.9205989	0.2279803	0.2636067	0.9203844	0.8585712	0.2091393	0.5099425	0.8906593	0.1444375
550	0.2056830	0.9160925	0.2330198	0.2909819	0.6499383	0.8505673	0.2100325	0.4986891	0.9627211	0.6982615
600	0.2247435	0.9183536	0.2853307	0.3696543	0.5683440	0.8843081	0.2154606	0.4772350	0.9931859	0.8935833
650	0.2319544	0.9361571	0.4159769	0.4447222	0.5645481	0.9640868	0.2250389	0.4638041	0.9984942	0.9624691
700	0.2320483	0.9601958	0.5616521	0.4774326	0.5985929	0.9942500	0.2339946	0.4584285	0.9994252	0.9867637
750	0.2282149	0.9769047	0.6604447	0.4719680	0.6299218	0.9988261	0.2396384	0.4581411	0.9996112	0.9953318
800	0.2235236	0.9857320	0.7044784	0.4532968	0.6477507	0.9995560	0.2418272	0.4603675	0.9996570	0.9983536
850	0.2196630	0.9898514	0.7101973	0.4369951	0.6561676	0.9997181	0.2416420	0.4631497	0.9996709	0.9994194
900	0.2170396	0.9915532	0.6971710	0.4266642	0.6597954	0.9997513	0.2403562	0.4654738	0.9996758	0.9997952
950	0.2154656	0.9920647	0.6796395	0.4210695	0.6612758	0.9997390	0.2388776	0.4670759	0.9996775	0.9999278
