YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.0000000	0.5051339	0.7784199	0.9566719	0.8028871	1.0098084	0.0737592	0.1284545	0.0623642	0.9561185
1.0594662	0.0000000	0.5342675	0.8002891	0.0438326	0.0648722	0.6668387	0.7042508	1.0190048	0.9554124
0.0798824	0.9787603	0.0000000	0.9698147	0.6213643	0.9633548	0.0697075	0.0896996	0.0505715	0.9862851
0.0641623	1.0812026	0.0203706	0.0000000	0.6403743	1.0837867	0.0404359	0.0848458	0.0334475	1.0039457
0.1954108	0.4457446	0.7383784	1.0770114	0.0000000	0.9045411	0.0769175	0.1165886	0.0430946	0.9985466
0.2318134	0.4529398	0.7689495	0.9614922	0.0338620	0.0000000	0.0541167	0.1021959	0.0421667	0.9888939
0.1795251	0.5356234	0.6953133	1.0327799	0.6869693	1.0333041	0.0000000	0.0748917	0.0466669	0.9858084
0.3331178	0.4305035	0.7337452	1.0320408	0.6733392	1.0182727	0.0128725	0.0000000	0.0647560	0.9456089
0.1856541	0.4933068	0.7723302	1.0484048	0.6203209	0.9133662	0.0421486	0.0805031	0.0000000	0.9858729
0.1543076	0.5355552	0.7473636	1.0226184	0.0350668	0.0571220	0.5572067	0.6600075	0.9891615	0.0000000
