"Time"	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W

0	0.2965457	0.9134355	0.7439148	0.3041113	0.4070966	0.6514086	0.5471344	0.9691043	0.4349426	0.9843149
50	0.2210580	1.0606331	0.6283342	0.2562163	0.4043524	0.6742596	0.5016832	0.9470380	0.7339299	0.9299330
100	0.1235112	1.0078096	0.6710163	0.2015802	0.4349502	0.6166625	0.4286360	0.9496749	0.9339695	0.9846347
150	0.1156148	0.9288129	0.5650671	0.1645783	0.3711720	0.5867442	0.5206310	0.9452378	0.9216745	0.9743443
200	0.1391849	0.9553916	0.4906130	0.1956271	0.3896831	0.6095136	0.4727653	0.9740193	0.9636431	1.0607455
250	0.1052065	1.0148930	0.6519717	0.2647961	0.3562853	0.5906596	0.4567813	0.9890806	0.9586330	1.0407798
300	0.1038039	1.0951578	0.7706961	0.2420128	0.3887685	0.5766547	0.5538506	0.9453274	0.9490507	0.9589714
350	0.0739948	1.0136386	0.7427488	0.2901258	0.3370419	0.5663759	0.4877248	0.9768099	0.9551890	1.0240370
400	0.0920498	0.9947868	0.7224125	0.3230736	0.3597521	0.6074846	0.5312869	1.0043398	1.0170198	0.9633493
450	0.0550381	0.9886722	0.7851734	0.2508965	0.3770591	0.6146910	0.4793257	1.0541011	0.9559400	0.9970237
500	0.0627361	1.0634908	0.8216745	0.2700522	0.4316040	0.5985787	0.4447587	1.0594713	0.8973207	0.9615031
550	0.0800356	1.0442640	0.7170523	0.2014075	0.3705818	0.6422512	0.4515811	0.9501232	0.5677673	1.0371487
600	0.1493533	0.9791054	0.7595109	0.2066657	0.4047286	0.6306202	0.5357573	0.9412956	0.5582183	0.9800796
650	0.1504563	1.0107748	0.7300934	0.2000101	0.4025606	0.6707508	0.4805412	0.9057032	0.4839228	1.0287697
700	0.1925845	1.0073132	0.7671054	0.2063091	0.3858616	0.6084562	0.4511019	0.9591049	0.4658185	0.9841311
