"Time"	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C

0	0.5084423	0.6038167	0.6022187	0.8132838	0.3744371	0.9973662	0.2462386	0.9472206	0.1103989	1.0000000
50	0.5085648	0.6039667	0.6021901	0.8132167	0.3766950	0.9597822	0.2462224	0.9471833	0.1103989	1.0000000
100	0.5086725	0.6040641	0.6021698	0.8133165	0.3814183	0.9441836	0.2462297	0.9471512	0.1103989	1.0000000
150	0.5087550	0.6041226	0.6021904	0.8138160	0.3848205	0.9377093	0.2462438	0.9471270	0.1103989	1.0000000
200	0.5088218	0.6041167	0.6022911	0.8144993	0.3866258	0.9350219	0.2462575	0.9471111	0.1103989	1.0000000
250	0.5088758	0.6040056	0.6024583	0.8151151	0.3874712	0.9339061	0.2462678	0.9471055	0.1103989	1.0000000
300	0.5089002	0.6037853	0.6026448	0.8155610	0.3878446	0.9334427	0.2462728	0.9471144	0.1103989	1.0000000
350	0.5088745	0.6034976	0.6028100	0.8158436	0.3880047	0.9332502	0.2462702	0.9471397	0.1103989	1.0000000
400	0.5087948	0.6032000	0.6029357	0.8160072	0.3880723	0.9331703	0.2462591	0.9471786	0.1103989	1.0000000
450	0.5086763	0.6029373	0.6030214	0.8160962	0.3881006	0.9331374	0.2462402	0.9472245	0.1103989	1.0000000
500	0.5085433	0.6027310	0.6030752	0.8161424	0.3881124	0.9331242	0.2462162	0.9472705	0.1103989	1.0000000
550	0.5084174	0.6025827	0.6031086	0.8162262	0.3856718	0.9707252	0.2461907	0.9473112	0.1103989	1.0000000
600	0.5083127	0.6024806	0.6031332	0.8161133	0.3808130	0.9863330	0.2461667	0.9473438	0.1103989	1.0000000
650	0.5082310	0.6024162	0.6031114	0.8155660	0.3774907	0.9928121	0.2461462	0.9473684	0.1103989	1.0000000
700	0.5081619	0.6024214	0.6030028	0.8148572	0.3757890	0.9955020	0.2461300	0.9473850	0.1103989	1.0000000
750	0.5081049	0.6025394	0.6028280	0.8142463	0.3750076	0.9966190	0.2461184	0.9473909	0.1103989	1.0000000
800	0.5080804	0.6027698	0.6026387	0.8138182	0.3746659	0.9970830	0.2461130	0.9473815	0.1103989	1.0000000
850	0.5081096	0.6030649	0.6024752	0.8135533	0.3745200	0.9972757	0.2461157	0.9473549	0.1103989	1.0000000
900	0.5081944	0.6033642	0.6023534	0.8134026	0.3744585	0.9973557	0.2461273	0.9473148	0.1103989	1.0000000
950	0.5083169	0.6036238	0.6022718	0.8133216	0.3744328	0.9973887	0.2461468	0.9472681	0.1103989	1.0000000
1000	0.5084513	0.6038246	0.6022213	0.8132800	0.3744221	0.9974019	0.2461712	0.9472221	0.1103989	1.0000000

0	0.5084423	0.6038167	0.6022187	0.8132838	0.3744371	0.9973662	0.2462386	0.9472206	0.1103989	1.0000000
50	0.7260182	0.6295905	0.5250478	0.9240115	0.3765414	0.9623005	0.2462302	0.9469100	0.1103989	0.5725287
100	0.7938391	0.6876110	0.5161055	0.9664230	0.3809377	0.9477463	0.2465410	0.9440289	0.1103989	0.4202286
