YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C
0.0000000	0.4973270	0.7002620	0.7326371	0.5437567	0.5743968	0.0162042	0.8014717	0.7693117	0.5798056
0.2881946	0.0000000	0.0278119	0.6585676	0.6175407	0.7479769	0.0271487	0.7585416	0.6608310	0.7049140
0.2880600	0.0499491	0.0000000	0.7434072	0.6286839	0.7362596	0.0531995	0.7316196	0.7263194	0.6507242
0.3292904	0.1345875	0.0301402	0.0002108	0.8954734	0.6095736	0.0305795	0.7706015	0.8032153	0.6519183
0.2026219	0.0991146	0.0622925	0.0075299	0.0000000	0.7314100	0.1201155	0.6637762	0.8570551	0.7088440
0.4016259	0.6069251	0.6835876	0.6604023	0.6881277	0.0000000	0.0584443	0.7288402	0.8147517	0.7610323
0.1160163	0.4120085	0.8229405	0.8202298	0.7723690	0.7968401	0.0000000	0.6544500	0.8510509	0.7886417
0.0771140	0.5438985	0.8021863	0.7676300	0.7265471	0.6624917	0.7358223	0.0000000	0.7442259	0.6299455
0.0929618	0.6831710	0.6159488	0.6184927	0.6837403	0.7362302	0.0484645	0.7421033	0.0000000	0.7666522
0.1738913	0.4689856	0.5920856	0.7110064	0.7376731	0.6927559	0.0288609	0.7757328	0.7886704	0.0000000
