YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.0201427	0.0000000	0.8656319	0.0237857	0.0985019	0.0107920	0.0000000	0.7233719	0.0555705	0.7068174
0.0450831	0.0581255	0.0000000	0.0000000	0.8017250	0.4451259	0.6616671	0.7835526	0.0807134	0.6023932
0.1963264	0.4906057	0.0000000	0.4066769	0.8146223	0.4840644	0.7825948	0.0000000	0.0988229	0.7607879
0.2022328	0.9105027	0.9206532	0.0000000	0.8576951	0.5479126	0.7268175	0.0000000	0.0427222	0.9132942
0.2898262	0.8184655	0.7743768	0.0259899	0.0027595	0.0000000	0.7362322	0.0000000	0.0726955	0.7541253
