YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.1033051	0.3070370	0.1741467	0.8359534	0.9798948	0.0872303	1.0203376	0.2047195	1.0825460	1.0198299
0.1795245	0.1283954	0.2366095	0.8880219	0.6752262	0.1587192	1.0200681	0.2499992	0.9811223	1.0397291
0.0915897	0.2305260	0.1412680	0.8787480	0.7711422	0.1458568	0.9370096	0.2173321	1.0142988	1.0521166
0.7050692	0.3961209	0.3022267	0.5148394	0.8857921	0.0519810	1.0187028	0.2485094	1.0017446	0.9839616
0.2638929	0.3041603	0.2153304	0.8399758	0.4614220	0.1408088	1.0314810	0.2528464	0.9385371	0.9978382
0.1973096	0.3183328	0.1907526	0.9491301	1.0365986	0.0403386	0.9883688	0.2435377	0.9507450	1.0373171
0.2156515	0.3483292	0.2350434	0.7563970	0.2734204	0.3958082	0.4824948	0.2159388	1.0241502	0.9853246
0.1309365	0.2689914	0.2138648	0.8777861	0.9184688	0.0777201	0.9869361	0.1293446	1.0183258	0.9950563
0.0832059	0.2550811	0.1927944	0.8965346	0.8629148	0.1792336	0.8268273	0.7046867	0.5131325	0.9993035
0.0619486	0.2550250	0.1987544	0.8780558	0.9988915	0.1062790	1.0633748	0.2758548	0.9921317	0.4836341
