YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.2769927	0.7769368	0.5612294	1.0105324	0.3119529	0.6281788	1.0263220	0.7526672	0.6315495	0.9051960
0.2377107	0.4923174	0.4249876	0.8971023	0.3631730	0.5702281	1.0351553	0.8846252	0.5164612	1.0642389
0.6425302	0.9508835	0.2516047	1.0288726	0.3409256	0.5822174	0.9988408	0.7884337	0.6270732	0.9734540
0.3507015	0.5414076	0.8182915	0.4948732	0.3742373	0.6063924	0.9253040	0.6552801	0.5903025	1.0088885
0.5820004	0.8707972	0.4424352	1.1066886	0.1602097	0.5602816	1.0134450	0.8592423	0.5556560	0.9878325
0.5616130	0.7721510	0.4587900	0.9691135	0.1764284	0.2746397	0.9072347	0.6723797	0.6246353	0.9448152
0.5324215	0.7163900	0.4655165	0.9605381	0.2970501	0.1967280	0.5157225	0.8143200	0.5697825	1.0085758
0.4583718	0.8403034	0.4900497	0.9403424	0.2840760	0.4753192	0.8136543	0.3880466	0.5634299	1.0708071
0.6264127	0.8489279	0.5052043	0.9270801	0.3043875	0.4987650	0.9435656	0.6095744	0.2567814	1.0146557
0.5268107	0.8598985	0.5123228	0.9777912	0.2496031	0.4918257	1.0125693	0.9498573	0.3740528	0.4530243
