YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.5220426	0.3207184	0.9992277	0.5769924	0.4669299	0.5415176	0.9475276	0.8034063	0.0432609	0.6475867
0.2341448	0.1651910	0.9812306	0.9678255	0.2487811	0.8652860	0.9511747	0.6584405	0.2060365	0.4187676
0.4358574	0.2677692	0.9997077	0.7932286	0.0930690	1.0000000	0.8162696	0.9309546	0.9990297	0.1128986
0.5357051	0.2887786	0.9998880	0.9993762	0.1042962	1.0000000	0.9690841	0.9765629	0.9999831	0.0575879
0.7119658	0.3208742	0.9990372	0.4324487	0.5513195	0.5175060	0.8052972	0.9999959	0.0137457	0.7725778
0.6915002	0.3358973	0.9812393	0.9851945	0.2091440	0.7526698	0.8181920	0.9999996	0.8918945	0.2515980
0.4404329	0.2370130	0.9998262	0.8921890	0.2806239	0.8095536	0.9780259	0.9186090	0.1741777	0.4684281
0.3907930	0.2430383	0.9998465	0.9904401	0.1898421	1.0000000	0.9151898	0.9128154	0.8199476	0.0616515
0.4590129	0.2160874	0.9998545	0.9860080	0.2065327	0.9563401	0.8777003	0.9999973	0.0510822	0.5633138
0.5731703	0.3358918	0.9812418	0.9904401	0.1898421	1.0000000	0.8308523	0.9885316	0.9999749	0.0616516
