"Time"	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C

0	1.0539778	1.0081635	0.8069233	0.9655337	0.0092933	0.2441521	1.0186212	0.1168923	0.9885837	0.7717756
50	0.9516943	1.0136372	0.7746367	0.9515398	0.0154733	0.2836291	0.8164919	0.1012353	0.9686597	0.7977665
100	0.9912936	0.8678028	0.9002065	0.9978224	0.0112084	0.3387369	0.8240680	0.1250296	1.0128564	0.7857145
150	0.8754887	1.0191301	0.8702910	0.9220201	0.0202420	0.3813959	0.7664968	0.1318180	1.0551808	0.7996562
200	0.9871855	0.9561729	0.8176862	1.0946582	0.0199566	0.3402510	0.7795795	0.1450262	0.9528314	0.7501267
250	0.9599971	0.9151087	0.7459620	0.9811981	0.0184243	0.3566116	0.7790232	0.1317903	0.9719198	0.7823318
300	0.9943458	0.9937721	0.8263145	0.9520357	0.0238311	0.3352611	0.7757680	0.1280610	1.0882790	0.7703617
350	0.9588491	1.0668084	0.9768876	0.8711527	0.0238818	0.3517326	0.7195508	0.1075225	1.1691180	0.6773877
400	1.0145122	1.0172532	0.8929789	0.9420055	0.0174018	0.3910089	0.7551599	0.1188137	0.9922023	0.7174110
450	1.0263944	0.9277383	0.9281584	0.9091066	0.0239375	0.4299100	0.7420017	0.1131773	1.0075744	0.7913035
500	0.9702355	0.9635729	0.7964133	0.9861906	0.0222283	0.3689916	0.7185422	0.1356424	1.0609606	0.7890836
550	0.9944930	0.9526025	0.8666544	1.0540395	0.0122105	0.3676352	0.9368649	0.1329847	0.9809276	0.7193739
600	1.0622105	0.9392480	0.7321864	1.0535988	0.0133516	0.4048732	0.9130000	0.1502452	0.9625089	0.7335895
650	1.0138794	0.8522869	0.8372294	0.9902083	0.0143168	0.3366681	0.9313700	0.1200297	1.0281979	0.7175108
700	0.9859664	0.9706172	0.8903894	1.0411901	0.0153524	0.3179549	0.9094574	0.1491151	1.0942979	0.7436122
750	1.0388570	1.0087741	0.9026043	0.8744623	0.0263648	0.2825400	1.0194543	0.1136568	1.0594009	0.8688321
800	0.9680975	1.0778630	0.9416042	0.9701535	0.0105974	0.2748767	1.0418503	0.1335552	1.0469649	0.7387969
850	1.0113796	1.0450144	0.9083484	0.9400495	0.0113826	0.2313707	1.0287789	0.0866627	1.0565310	0.7089314
