YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.0000000	0.1272459	0.2484029	0.4786015	0.5076981	0.1833753	0.7214870	0.4017315	0.5081270	0.7467921
0.5046369	0.0000000	0.2496917	0.4478950	0.6941680	0.1658845	0.5366276	0.4028300	0.6130625	0.7413639
0.3819274	0.1546240	0.0000000	0.3858833	0.7157280	0.1669447	0.6415839	0.4216797	0.6462501	0.8005303
0.4899669	0.0845028	0.0006728	0.0000000	0.7277660	0.1081042	0.7976919	0.3382031	0.6112062	0.8915657
0.7861864	0.7803240	0.5433109	0.8354483	0.0000000	0.1629275	0.5566674	0.2997898	0.6299833	0.8853952
0.3325011	0.0887637	0.1843605	0.3979707	0.7151701	0.0000000	0.8573304	0.2942673	0.5502108	0.6410229
0.7368307	0.7938882	0.4889135	0.8055455	0.0154632	0.7424163	0.0000000	0.5352818	0.6070677	0.9328590
0.3329593	0.1484170	0.3146575	0.4253108	0.7101734	0.1223363	0.8035664	0.0000000	0.5365790	0.7778482
0.4482595	0.2502145	0.2338648	0.5993751	0.4805483	0.1106624	0.8320756	0.0040386	0.0000000	0.8192701
0.4878374	0.1909802	0.3304366	0.4516143	0.6139310	0.1456129	0.8184389	0.0095555	0.0363175	0.0000000
