"Time"	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W

0	0.8391160	0.5418553	0.7462280	0.1054299	0.7634072	0.7924907	0.7919291	0.4262609	0.2131690	0.3802899
50	0.8759213	0.4937469	0.7510253	0.0823847	0.8480180	0.7267880	0.8466169	0.4001321	0.2837230	0.3912510
100	0.8519569	0.4848523	0.8271137	0.0450991	0.8713919	0.9929644	0.8335833	0.4582177	0.3287184	0.4349162
150	0.8732150	0.5526627	0.8656120	0.0375222	0.9158148	0.9636199	0.8937773	0.5374469	0.3611193	0.4510420
200	0.9373763	0.5833922	0.8313996	0.0249896	0.7983292	0.9752098	0.9135007	0.5348727	0.4686469	0.4724699
250	0.7435685	0.5709619	0.8816920	0.0133702	0.8381402	0.9916531	0.8216720	0.5300493	0.4592358	0.4843303
300	0.6445120	0.6051058	0.8659334	0.0263093	0.8855838	1.0234148	0.9489556	0.5708100	0.4132151	0.4777371
350	0.7115738	0.5254059	0.8077739	0.0253998	0.8521927	1.0587526	0.9213742	0.6394235	0.4622980	0.5144533
400	0.7968967	0.5099449	0.9015203	0.0214286	0.9190925	1.0935484	0.8192973	0.6380768	0.4547263	0.4711731
450	0.7949904	0.5727943	0.8527075	0.0267358	0.9286828	1.0380803	0.7709985	0.5810556	0.4936702	0.4196646
500	0.7833836	0.5279435	0.8002362	0.0202282	0.8582542	1.1276828	0.8868276	0.4637131	0.4331781	0.5123147
550	0.7896523	0.4990487	0.8396267	0.0164643	0.9799021	1.0835607	0.8155583	0.4348539	0.4367515	0.4454956
600	0.8336485	0.5035272	0.8141251	0.0433917	0.9279439	0.8903019	0.8031245	0.4159614	0.3443288	0.3494255
650	0.7422870	0.5291321	0.8804592	0.0377084	0.8917995	0.8328744	0.8265021	0.4005109	0.3355775	0.4476927
700	0.8802724	0.5080645	1.0015323	0.0994311	0.8099550	0.8248338	0.8675526	0.3622808	0.2422492	0.3972362
750	0.8148658	0.5185863	0.8502032	0.0968327	0.8669647	0.7770667	0.8466636	0.4004858	0.3256049	0.3578240
800	0.7758861	0.5635648	0.8485475	0.0912361	0.8508272	0.7800581	0.8255367	0.3476273	0.2831124	0.3497761
850	0.8544132	0.5053959	0.7260776	0.1065438	0.8932309	0.7538061	0.8946674	0.4315303	0.3100698	0.3445860
900	0.8689674	0.4565309	0.8351528	0.1012402	0.8761092	0.8026974	0.8762529	0.4497295	0.2832298	0.3867346
950	0.9321482	0.4417529	0.8040061	0.0913303	0.8124736	0.8197801	0.8419264	0.4072630	0.2821517	0.3464540
1000	0.9445822	0.4512027	0.7924076	0.0804873	0.7493480	0.7129149	0.8071288	0.3862626	0.2492883	0.3060735

0	0.8391160	0.5418553	0.7462280	0.1054299	0.7634072	0.7924907	0.7919291	0.4262609	0.2131690	0.3802899
50	0.6323179	0.5104591	0.8904585	0.0492640	0.8320831	0.7262919	0.7860240	0.3876569	0.3299893	0.2740841
100	0.3276119	0.5383014	0.7599472	0.0343483	0.7675887	0.6925738	0.7995558	0.3563837	0.4537523	0.3423596
