"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W

0	0.6419572	0.7932640	0.9250577	0.1180193	0.9779415	0.0316079	0.9998419	0.0048357	0.0162900	1.0000000
50	0.6419490	0.7943838	0.9649971	0.0495036	0.9109548	0.0316888	0.3820206	0.0048356	0.0162912	1.0000000
100	0.6425444	0.8008737	0.9892837	0.0597605	0.8886861	0.0327462	0.2797515	0.0048356	0.0162734	1.0000000
150	0.6445435	0.8082010	0.9862020	0.0800455	0.8798093	0.0362756	0.2628227	0.0048356	0.0162102	1.0000000
200	0.6472508	0.8120709	0.9744982	0.0911990	0.8734556	0.0399067	0.2600204	0.0048355	0.0161205	1.0000000
250	0.6494051	0.8123496	0.9644141	0.0959600	0.8681814	0.0416939	0.2595565	0.0048355	0.0160439	1.0000000
300	0.6504029	0.8107049	0.9587150	0.0979799	0.8648142	0.0422995	0.2594798	0.0048354	0.0160026	1.0000000
350	0.6503918	0.8086889	0.9559936	0.0988195	0.8631206	0.0424703	0.2594670	0.0048353	0.0159951	1.0000000
400	0.6498361	0.8070563	0.9548391	0.0990588	0.8623910	0.0425140	0.2594649	0.0048353	0.0160085	1.0000000
450	0.6491458	0.8059728	0.9545013	0.0989854	0.8621057	0.0425246	0.2594646	0.0048353	0.0160296	1.0000000
500	0.6485505	0.8053548	0.9545757	0.0987843	0.8620006	0.0425271	0.2594645	0.0048353	0.0160498	1.0000000
550	0.6480711	0.8016966	0.8000875	0.2231303	0.9306466	0.0346138	0.8772859	0.0048353	0.0160669	1.0000000
600	0.6455982	0.7733975	0.7386708	0.1633132	0.9598563	0.0320692	0.9795550	0.0048353	0.0161429	1.0000000
650	0.6368918	0.7459879	0.8321406	0.1330251	0.9715410	0.0316793	0.9964838	0.0048354	0.0164294	1.0000000
700	0.6265611	0.7466871	0.8931886	0.1206431	0.9757622	0.0316195	0.9992861	0.0048356	0.0168168	1.0000000
750	0.6221897	0.7611787	0.9192539	0.1146631	0.9772125	0.0316099	0.9997499	0.0048359	0.0170213	1.0000000
800	0.6242995	0.7755210	0.9304095	0.1120377	0.9776996	0.0316082	0.9998267	0.0048361	0.0169797	1.0000000
850	0.6293684	0.7856097	0.9347022	0.1117845	0.9778615	0.0316079	0.9998394	0.0048362	0.0168079	1.0000000
900	0.6344830	0.7916294	0.9350964	0.1129121	0.9779151	0.0316079	0.9998415	0.0048362	0.0166184	1.0000000
950	0.6383869	0.7946934	0.9333887	0.1145034	0.9779328	0.0316079	0.9998418	0.0048360	0.0164653	1.0000000
1000	0.6408935	0.7958487	0.9309338	0.1159689	0.9779386	0.0316079	0.9998419	0.0048359	0.0163612	1.0000000

0	0.6419572	0.7932640	0.9250577	0.1180193	0.9779415	0.0316079	0.9998419	0.0048357	0.0162900	1.0000000
50	0.6498865	0.8893790	0.9148181	0.1484470	0.9779317	0.0316934	0.3672487	0.0048356	0.0160634	1.0000000
100	0.6701302	0.9247362	0.8037805	0.2448592	0.9776389	0.0329264	0.2625344	0.0048354	0.0154944	1.0000000
150	0.6871620	0.9309159	0.5575599	0.3365060	0.9754252	0.0374878	0.2452008	0.0048351	0.0150113	1.0000000
200	0.6955941	0.9145923	0.3832218	0.3850850	0.9695480	0.0425022	0.2423315	0.0048348	0.0147451	1.0000000
250	0.6952393	0.8850949	0.3101864	0.4050504	0.9624936	0.0450519	0.2418566	0.0048345	0.0146981	1.0000000
300	0.6883235	0.8573307	0.2840370	0.4109117	0.9574369	0.0459285	0.2417780	0.0048343	0.0148302	1.0000000
350	0.6787076	0.8384449	0.2766623	0.4099433	0.9547707	0.0461773	0.2417650	0.0048343	0.0150638	1.0000000
400	0.6697770	0.8278013	0.2773048	0.4060810	0.9535958	0.0462413	0.2417628	0.0048344	0.0153130	1.0000000
450	0.6631505	0.8226659	0.2812343	0.4017142	0.9531306	0.0462568	0.2417625	0.0048345	0.0155198	1.0000000
500	0.6589729	0.8207176	0.2858905	0.3980693	0.9529581	0.0462604	0.2417624	0.0048347	0.0156640	1.0000000
550	0.6266352	0.4880871	0.3188313	0.2917824	0.9570861	0.0354843	0.8743556	0.0048349	0.0167965	1.0000000
600	0.5289281	0.3906269	0.5361526	0.1684884	0.9677524	0.0321901	0.9790700	0.0048361	0.0232808	1.0000000
650	0.4433935	0.4590042	0.8084910	0.1072151	0.9740131	0.0316960	0.9964034	0.0048457	0.0340818	1.0000000
700	0.4364000	0.5949423	0.9348631	0.0806843	0.9765570	0.0316218	0.9992718	0.0048784	0.0351233	1.0000000
750	0.4885555	0.6994137	0.9714401	0.0732217	0.9774713	0.0316102	0.9997449	0.0048998	0.0289459	1.0000000
800	0.5490911	0.7591868	0.9792465	0.0761468	0.9777844	0.0316083	0.9998226	0.0048887	0.0233474	1.0000000
850	0.5940534	0.7891414	0.9769127	0.0851665	0.9778894	0.0316079	0.9998361	0.0048694	0.0198545	1.0000000
900	0.6216142	0.8024951	0.9685133	0.0962651	0.9779243	0.0316079	0.9998393	0.0048547	0.0179283	1.0000000
950	0.6366336	0.8069646	0.9563739	0.1059740	0.9779358	0.0316079	0.9998405	0.0048458	0.0169297	1.0000000
1000	0.6438919	0.8066709	0.9438793	0.1127871	0.9779396	0.0316079	0.9998412	0.0048408	0.0164409	1.0000000

0	0.6419572	0.7932640	0.9250577	0.1180193	0.9779415	0.0316079	0.9998419	0.0048357	0.0162900	1.0000000
50	0.7449283	0.7932269	0.9140861	0.1554561	0.5117389	0.0043443	0.3620015	0.0048356	0.0162918	1.0000000
100	0.7772937	0.7877398	0.7662399	0.2784898	0.3600411	0.0011283	0.2564186	0.0048356	0.0162980	1.0000000
150	0.7857254	0.7465133	0.4731707	0.3901265	0.3102231	0.0025313	0.2389412	0.0048356	0.0163963	1.0000000
200	0.7791883	0.6341158	0.3052662	0.4443443	0.2938091	0.0046127	0.2360482	0.0048357	0.0169992	1.0000000
250	0.7532250	0.4862626	0.2475191	0.4591449	0.2883554	0.0057101	0.2355693	0.0048362	0.0192913	1.0000000
300	0.7077513	0.3689533	0.2341910	0.4506662	0.2865230	0.0060915	0.2354900	0.0048388	0.0261666	1.0000000
350	0.6552024	0.3003245	0.2414199	0.4283969	0.2859046	0.0062002	0.2354768	0.0048562	0.0427936	1.0000000
400	0.6109865	0.2695363	0.2614177	0.4024133	0.2856963	0.0062282	0.2354741	0.0050194	0.0720451	1.0000000
450	0.5823202	0.2637392	0.2876452	0.3810180	0.2856265	0.0062351	0.2354684	0.0062991	0.1058990	1.0000000
500	0.5685981	0.2734347	0.3125024	0.3671022	0.2856032	0.0062376	0.2354293	0.0115641	0.1294375	1.0000000
550	0.3503677	0.2918339	0.3681564	0.2490237	0.7591774	0.0302004	0.8723349	0.0213473	0.1353145	1.0000000
600	0.2938051	0.3467739	0.6499647	0.1237862	0.9076091	0.0314729	0.9758893	0.0290882	0.1249696	1.0000000
650	0.3153731	0.4914896	0.8977224	0.0788463	0.9549956	0.0315991	0.9915004	0.0281463	0.0949489	1.0000000
700	0.3966412	0.6384245	0.9694346	0.0664693	0.9704106	0.0316094	0.9948729	0.0200284	0.0604393	1.0000000
750	0.4902942	0.7296867	0.9837809	0.0662991	0.9754642	0.0316091	0.9972438	0.0127337	0.0381720	1.0000000
800	0.5611630	0.7766385	0.9844472	0.0737288	0.9771257	0.0316085	0.9987196	0.0086322	0.0265477	1.0000000
850	0.6048837	0.7984446	0.9787248	0.0860402	0.9776726	0.0316081	0.9993917	0.0066214	0.0208949	1.0000000
900	0.6289239	0.8071587	0.9675440	0.0987090	0.9778528	0.0316080	0.9996601	0.0056703	0.0182233	1.0000000
950	0.6409688	0.8089538	0.9534310	0.1084901	0.9779122	0.0316079	0.9997656	0.0052248	0.0169862	1.0000000
1000	0.6462028	0.8070600	0.9403794	0.1146927	0.9779318	0.0316079	0.9998086	0.0050168	0.0164347	1.0000000

0	0.6419572	0.7932640	0.9250577	0.1180193	0.9779415	0.0316079	0.9998419	0.0048357	0.0162900	1.0000000
50	0.6418914	0.7921261	0.8975097	0.1376553	0.9779405	0.0316137	0.8957322	0.0048349	0.0092591	1.0000000
100	0.6413660	0.7871577	0.8699068	0.1471708	0.9779325	0.0316255	0.8784987	0.0048334	0.0063979	1.0000000
150	0.6396513	0.7790645	0.8502206	0.1514447	0.9779203	0.0316326	0.8756461	0.0048326	0.0052763	1.0000000
200	0.6366140	0.7703966	0.8404058	0.1525725	0.9779106	0.0316354	0.8751740	0.0048321	0.0048989	1.0000000
250	0.6328490	0.7633884	0.8375278	0.1521405	0.9779052	0.0316362	0.8750958	0.0048319	0.0048394	1.0000000
300	0.6292204	0.7589265	0.8383989	0.1510466	0.9779027	0.0316364	0.8750829	0.0048318	0.0049001	1.0000000
350	0.6263726	0.7568010	0.8408794	0.1498132	0.9779017	0.0316365	0.8750808	0.0048318	0.0049861	1.0000000
400	0.6245436	0.7563321	0.8436797	0.1487456	0.9779013	0.0316365	0.8750804	0.0048317	0.0050552	1.0000000
450	0.6236428	0.7568050	0.8460850	0.1479815	0.9779012	0.0316365	0.8750803	0.0048317	0.0050957	1.0000000
500	0.6234170	0.7576583	0.8477962	0.1475341	0.9779012	0.0316365	0.8750803	0.0048317	0.0051103	1.0000000
550	0.6236369	0.7600618	0.8798807	0.1269859	0.9779028	0.0316274	0.9791901	0.0048318	0.0121409	1.0000000
600	0.6246965	0.7670731	0.9092915	0.1172825	0.9779135	0.0316153	0.9964236	0.0048322	0.0149826	1.0000000
650	0.6272718	0.7764958	0.9256037	0.1135514	0.9779262	0.0316101	0.9992763	0.0048332	0.0160666	1.0000000
700	0.6310462	0.7848130	0.9320104	0.1129118	0.9779345	0.0316085	0.9997484	0.0048342	0.0164081	1.0000000
750	0.6349942	0.7905118	0.9332872	0.1136478	0.9779387	0.0316080	0.9998265	0.0048349	0.0164550	1.0000000
