YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0000000	0.0548216	0.0284878	0.8006527	0.0446123	0.1047792	0.2215485	0.3690583	0.2241765	0.9369376
0.0064508	0.0000000	0.0525164	1.0612245	0.0121342	0.0742338	0.1827966	0.6595859	0.2226214	1.0608856
0.0550598	0.0901777	0.0000000	0.8252298	0.0347638	0.0570544	0.1716426	0.5842072	0.2870248	1.0247143
0.0700602	0.0890595	0.0286222	0.0000000	0.0395975	0.0710101	0.1850280	0.0912530	0.2257822	0.9645455
0.0593993	0.0596223	0.0478415	0.9872642	0.0000000	0.0996491	0.2239662	0.6782618	0.1970632	1.0300012
0.0622987	0.0514231	0.0478269	0.9021524	0.0465024	0.0000000	0.1766260	0.5377843	0.2240654	0.9704202
0.0605372	0.0657278	0.0335500	0.9136292	0.0362694	1.0325690	0.0000000	0.5795026	0.2213230	1.0485271
0.0414985	0.0758333	0.0512090	0.8519955	0.0335230	0.0902184	0.2309445	0.0000000	0.2281180	1.0158783
0.0631905	0.0647167	0.0464892	0.9398283	0.0477573	0.0872951	0.8555338	0.4986626	0.0000000	1.0124699
0.0765153	0.0752986	0.0475549	0.9805542	0.0171683	0.5587807	0.0225029	0.9177282	0.9490756	0.0000000
