YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0305015	0.9475977	0.0219899	0.0674327	0.2995991	1.0519270	0.0687456	0.0597933	0.9183647	1.0167106
0.1797422	0.5132116	0.0101946	0.1477648	0.3357027	1.0930151	0.0524734	0.0541427	0.8865814	1.0004439
0.1759339	1.0356068	0.0074674	0.1767252	0.2746824	1.0517136	0.0470532	0.0440745	0.8846286	0.9440914
0.0546569	1.0047966	0.0139808	0.0320065	0.2940929	0.9640282	0.0613254	0.0523056	0.8848013	0.9706524
0.0397127	1.0989277	0.0164941	0.0542165	0.1405993	0.9863928	0.0494966	0.0672845	0.9186912	1.0587226
0.9036129	0.6837854	0.1830689	0.7058642	0.5633136	0.5523896	0.1994247	0.1754839	0.8585733	1.0142126
0.0917965	1.0499927	0.0157293	0.1412465	0.3391598	1.0121024	0.0365007	0.0478282	0.9671483	0.9920155
0.0871504	0.9690875	0.0097727	0.0817294	0.2287757	1.0154420	0.0500840	0.0313453	0.8647206	0.9474276
0.0665958	1.0448717	0.0086878	0.1252567	0.2590510	0.9564497	0.0465560	0.0633653	0.4804359	0.9994871
0.1341198	1.0594567	0.0201927	0.1321204	0.3386114	1.0232909	0.0529569	0.0484841	0.6824398	0.5136413
