"Time"	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W

0	0.7487888	0.1074530	0.1067299	0.8175891	0.3457718	0.5251222	0.2554021	0.0273606	0.4834793	0.3018640
50	0.7048818	0.2218654	0.0716237	0.7858060	0.3042817	0.3377036	0.2411792	0.0346739	0.4861748	0.2411729
100	0.5517137	0.1631985	0.0815655	0.7974827	0.3089153	0.2297083	0.1338774	0.0228952	0.3880883	0.2262152
150	0.5403299	0.2949024	0.0962215	0.6765960	0.2775625	0.2080394	0.0523016	0.0039079	0.4083010	0.2463100
200	0.5365310	0.2545486	0.1044833	0.7402834	0.1997048	0.2353493	0.1404112	0.0026791	0.5606844	0.1962089
250	0.4456792	0.3770533	0.0977570	0.7898989	0.2039930	0.1933800	0.1843135	0.0059947	0.5511168	0.2227866
300	0.5060282	0.3150668	0.1075408	0.9585913	0.1803066	0.1764944	0.1043091	0.0016618	0.5455650	0.1653945
350	0.5033440	0.3580987	0.1200466	0.6804791	0.2032713	0.2327935	0.1926397	0.0032238	0.6029760	0.1505116
400	0.4044644	0.4115451	0.1150502	0.7018705	0.2226826	0.1580566	0.1253029	0.0053683	0.6556653	0.1076743
450	0.3039490	0.4538642	0.1448343	0.8425399	0.2017494	0.2852137	0.2137712	0.0001245	0.6501091	0.1023426
500	0.4497203	0.4276962	0.1743675	0.8679580	0.1884926	0.2393158	0.1739035	0.0050376	0.6273200	0.1393053
550	0.3300845	0.5620364	0.2180314	0.7441476	0.2275583	0.2817411	0.3240173	0.0146547	0.7760171	0.1980974
600	0.4078332	0.4296406	0.1652744	0.8890365	0.4121218	0.2870845	0.4937371	0.0171371	0.6403989	0.1711905
650	0.4624005	0.3376084	0.0766742	0.7063612	0.3008117	0.3123310	0.4418491	0.0647635	0.4958299	0.1653509
700	0.3668104	0.2916620	0.0631988	0.7462415	0.3468516	0.3581758	0.2798343	0.0263467	0.5761590	0.1666972
750	0.4973002	0.1141155	0.0386019	0.7629011	0.4389997	0.3993813	0.2947940	0.0306696	0.5611506	0.1638447
800	0.7251733	0.1474740	0.0839763	0.7111772	0.3464869	0.4600007	0.2457409	0.0489855	0.6800276	0.1087228
850	0.7317441	0.1043197	0.0713712	0.7160601	0.3062448	0.4084925	0.2811266	0.0500759	0.7678842	0.1802831
900	0.6366120	0.1341744	0.1164426	0.7537538	0.3263374	0.4015213	0.3172542	0.0032931	0.6529303	0.1768753
950	0.5296084	0.3223752	0.1132939	0.8448792	0.3629318	0.4890498	0.3297612	0.0449390	0.5864345	0.2348428
1000	0.6039100	0.3378483	0.0761611	0.8346093	0.3414901	0.4215744	0.2867142	0.0361370	0.4512146	0.2421484

0	0.6598213	0.1368398	0.0809060	0.8124034	0.4013023	0.4569147	0.1961679	0.0245720	0.4966424	0.2617892
50	0.7258224	0.1043501	0.0996021	0.5493421	0.3742688	0.4445131	0.3423545	0.0279026	0.5254904	0.2408670
100	0.4971814	0.2052646	0.2015731	0.3018930	0.3654794	0.2097184	0.2051538	0.0219670	0.6080616	0.2171121
150	0.6005019	0.3174450	0.3057060	0.1455728	0.3734674	0.1766883	0.2309100	0.0185382	0.5658882	0.1528789
200	0.3941905	0.5906758	0.3344046	0.1059464	0.2650771	0.2390059	0.3875312	0.0089246	0.6462321	0.0771587
250	0.3502571	0.6678706	0.3039891	0.1081079	0.3110351	0.2278523	0.4629438	0.0158626	0.7892943	0.1022361
300	0.2324901	0.6130887	0.4059168	0.0697783	0.4169575	0.1376412	0.3981006	0.0085992	0.6846078	0.0894186
350	0.2344304	0.7430659	0.2978535	0.0231977	0.4456025	0.1507672	0.3507796	0.0113514	0.6557799	0.0879882
400	0.2181416	0.7710251	0.3958474	0.0111420	0.3622566	0.1874194	0.2972839	0.0316789	0.7169962	0.0762288
450	0.1949774	0.7774675	0.3041867	0.0159422	0.3359873	0.2370983	0.3017916	0.0374729	0.7421184	0.0784102
500	0.1883311	0.6982946	0.3028311	0.0248868	0.4323253	0.2698426	0.2327138	0.0149051	0.7396744	0.0837769
550	0.1913608	0.6181206	0.3935197	0.2577367	0.3631268	0.2588520	0.3404203	0.0232317	0.6055733	0.1306705
