"Time"	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W

0	0.7464102	0.4262925	0.6749094	0.1014884	0.6364642	0.6651946	0.7111156	0.3613816	0.1502378	0.3212280
50	0.7837343	0.4307282	0.5629305	0.0591682	0.5900218	0.9112820	0.6660260	0.4783998	0.2292332	0.2868168
100	0.6030210	0.3236886	0.5819293	0.0097470	0.6776933	0.7606105	0.7039289	0.5470078	0.3329680	0.3687447
150	0.6756004	0.4421406	0.6673625	0.0476850	0.7638273	0.8159837	0.7353867	0.4312127	0.3725664	0.3596545
200	0.5017500	0.5026337	0.8718644	0.0161324	0.6989396	0.7991632	0.5753696	0.4113251	0.3210526	0.4910911
250	0.7246693	0.3859841	0.6560950	0.0123593	0.7419537	0.7668674	0.6057420	0.4676179	0.2887597	0.3624065
300	0.6228963	0.5224817	0.8177305	0.0185780	0.6976925	0.7723542	0.8073328	0.4230340	0.3818407	0.4025393
350	0.6389472	0.4734067	0.7930406	0.0327851	0.8135717	0.8282168	0.8746627	0.5768682	0.3601047	0.3501545
400	0.7424903	0.4931316	0.7803010	0.0162695	0.8765916	0.8859838	0.7307867	0.5485694	0.4060605	0.2692101
450	0.7174755	0.4392755	0.6404391	0.0307110	0.8175587	0.8794970	0.9150533	0.4598204	0.4287578	0.4040808
500	0.6056030	0.4921704	0.6166487	0.0125348	0.8278386	0.8160827	0.7407934	0.3388416	0.2996869	0.3362423
550	0.7549904	0.3912138	0.7729343	0.0395089	0.6561681	0.6167512	0.6693432	0.4421127	0.3006938	0.3216779
600	0.7281105	0.3490626	0.7578146	0.0474959	0.9814949	0.5972675	0.7854769	0.3058047	0.2099661	0.3625665
650	0.7357730	0.4140774	0.7945390	0.0581132	0.6302904	0.6520002	0.5896496	0.3412409	0.2459489	0.3610290
700	0.6946416	0.4675059	0.7291669	0.0652022	0.6726750	0.7012975	0.6089819	0.3191120	0.2152250	0.2471383
750	0.8153203	0.4379820	0.6492559	0.1033187	0.6315975	0.5179325	0.7290671	0.2654532	0.1788401	0.2730038
800	0.6710687	0.4654582	0.6215090	0.0804559	0.6535914	0.7151442	0.7036155	0.3004576	0.1707687	0.3525515
850	0.7963325	0.3762358	0.6221194	0.0800629	0.7015942	0.5826244	0.6666731	0.3511351	0.2024524	0.3354200
900	0.7147254	0.3879812	0.6166889	0.0942396	0.7028611	0.6830729	0.6148219	0.3414792	0.2037096	0.2787828
950	0.7275982	0.4549106	0.7185977	0.0932161	0.5893066	0.6381110	0.6210393	0.2952654	0.2329350	0.2004108
1000	0.7629597	0.3701847	0.6385430	0.1008540	0.6908542	0.6199884	0.7626257	0.2880274	0.2138045	0.2560054

0	0.6338836	0.3409293	0.6744730	0.1210428	0.6558285	0.6140300	0.6892109	0.3176566	0.1559439	0.2826697
50	0.2893498	0.3600801	0.6019763	0.0394472	0.7268017	0.6384684	0.5970170	0.3721960	0.3582583	0.2165455
100	0.1434263	0.4004783	0.6489996	0.0214396	0.4847693	0.6576788	0.6452401	0.3184211	0.4231981	0.2965520
150	0.0940976	0.3788900	0.7609242	0.0327532	0.5368968	0.6646937	0.7423761	0.3138354	0.6282633	0.2961580
200	0.0422067	0.3840148	0.7252018	0.0015322	0.5986339	0.6459340	0.5689155	0.2812901	0.4206880	0.2618834
250	0.1010917	0.4225283	0.6852914	0.0024449	0.5761121	0.6138123	0.6828912	0.3330891	0.5149085	0.2255195
300	0.0377966	0.3621500	0.5898025	0.0044932	0.7465507	0.4777025	0.5183791	0.2874616	0.4427363	0.3045195
