YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.0000000	0.3135641	0.5442532	0.7382143	0.6268209	0.7841329	0.0498820	0.1100317	0.0343330	0.7145128
0.8186597	0.0000000	0.3538157	0.6954251	0.0164826	0.0225333	0.3461041	0.4728561	0.6773826	0.7859922
0.0617999	0.7515142	0.0000000	0.7580587	0.3945110	0.6731683	0.0591467	0.0623758	0.0221853	0.6548089
0.0303341	0.8503745	0.0202292	0.0000000	0.4811080	0.8248384	0.0144623	0.0387375	0.0219154	0.7558923
0.1318873	0.4166817	0.6152854	0.8672122	0.0000000	0.6335148	0.0854422	0.1257336	0.0399780	0.7412662
0.1796771	0.3315260	0.6150491	0.6578483	0.0242521	0.0000000	0.0338225	0.1067173	0.0738701	0.7777382
0.2116208	0.3471198	0.4518038	0.7884344	0.5263955	0.7418013	0.0005264	0.0804042	0.0482406	0.7190439
0.1991063	0.2179703	0.4899714	0.6621221	0.4195486	0.8145042	0.0101507	0.0000000	0.0724002	0.7290387
0.1618538	0.3412622	0.6778026	0.8649367	0.4334063	0.6616026	0.0230326	0.0991521	0.0000000	0.8532961
0.1293379	0.3941740	0.5225787	0.7453027	0.0391704	0.0223201	0.4594485	0.5139404	0.7846442	0.0000000
