"Time"	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W

0	0.1048002	0.0303471	0.4602390	0.6526965	0.8231440	0.0373829	0.0739663	0.3008259	0.4284996	0.0066044
50	0.0647939	0.0226091	0.4877789	0.7183329	0.6961044	0.0684016	0.0139457	0.1758757	0.5376441	0.0102390
100	0.0614938	0.0296192	0.4912910	0.5726842	0.4944012	0.0767465	0.0090648	0.2898554	0.7228364	0.0147154
150	0.1150201	0.0239142	0.5271305	0.4721944	0.3692728	0.0548265	0.0016999	0.3518168	0.7270930	0.0096161
200	0.1087642	0.0310187	0.5737044	0.4344493	0.3664547	0.0332033	0.0010823	0.5992902	0.8878453	0.0122526
250	0.0924407	0.0381380	0.6023995	0.4731445	0.3233543	0.0266533	0.0060557	0.4482121	0.5844219	0.0110310
300	0.0742038	0.0465403	0.6997574	0.2942314	0.3663410	0.0234714	0.0033586	0.4175718	0.6601334	0.0016072
350	0.0890689	0.0261748	0.7401134	0.3033838	0.2715233	0.0242459	0.0000000	0.4282406	0.5918476	0.0031354
400	0.1209139	0.0312483	0.7183409	0.3124732	0.3630065	0.0275310	0.0016492	0.3491851	0.6607788	0.0042248
450	0.0886958	0.0138311	0.6442942	0.2700572	0.3930448	0.0169735	0.0011835	0.4758091	0.6705852	0.0173935
500	0.0780940	0.0685198	0.7278896	0.2629672	0.3598176	0.0175810	0.0000166	0.4883700	0.7402266	0.0058181
550	0.0529246	0.0666647	0.7691676	0.3867284	0.5183269	0.0278898	0.0085142	0.4077687	0.3603029	0.0057751
600	0.0988817	0.0366827	0.7819923	0.3415531	0.6086136	0.0335200	0.0233088	0.3021250	0.5042543	0.0048843
650	0.1239876	0.0300234	0.5466848	0.3897788	0.8334630	0.0233663	0.0193272	0.1713665	0.4118026	0.0118877
700	0.0805163	0.0240858	0.6170928	0.5789804	0.7903850	0.0166161	0.0900508	0.1975788	0.3706291	0.0353218
750	0.0468013	0.0171931	0.4828986	0.6070620	1.0388045	0.0415570	0.0418450	0.2313368	0.4601925	0.0160943
800	0.0593924	0.0205699	0.5994936	0.6743309	0.9083746	0.0244315	0.0681500	0.2483691	0.3703566	0.0204028
850	0.0635970	0.0384830	0.4792241	0.6355241	0.6738503	0.1051629	0.0463474	0.1504150	0.3699999	0.0191802
900	0.0567260	0.0428412	0.4366522	0.6490631	0.8402543	0.0410011	0.0772344	0.1758274	0.4525129	0.0040976
950	0.0773918	0.0376309	0.5752132	0.6941076	0.8105494	0.0609050	0.0832339	0.2551119	0.3973114	0.0035828
