YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0362571	0.0819471	0.4421784	0.2238926	0.6537009	0.5362683	0.5766827	1.0165530	0.4510882	0.9605298
0.0974701	0.0560404	0.3127820	0.3035649	0.5374106	0.7257297	0.6126737	0.9626188	0.2969212	1.0299939
0.0992240	0.0262709	0.1672413	0.2205084	0.5915500	0.6664093	0.6080323	1.0516727	0.3800590	0.9601969
0.0696763	0.0488693	0.4297358	0.1463899	0.6477338	0.5029132	0.6407975	0.9480770	0.3051995	0.9485655
0.0881411	0.0236639	0.1407957	0.5090245	0.2800109	0.6651796	0.5870154	1.0158676	0.1784993	0.9907374
0.1349342	0.2002801	0.3252499	0.2447576	0.4753338	0.3117344	0.6421284	0.9990412	0.4274731	0.9060979
0.4058428	0.2387648	0.2463471	0.4515372	0.3569293	0.1067422	0.3022875	1.0031533	0.2506328	0.9911218
0.1845943	0.4065709	0.6424621	0.1600831	0.4691939	0.0954471	0.3222744	0.5177485	0.5183220	0.9059601
0.1052915	0.0469412	0.4028053	0.2312248	0.5577824	0.6298100	0.5835971	0.9165426	0.1481851	1.0049444
0.0762214	0.1025373	0.3412844	0.2030688	0.6573245	0.6517576	0.6344180	1.0248445	0.5125957	0.4799425
