"Time"	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W

0	0.0414713	0.9071659	0.9966640	0.0229901	0.2160830	0.4145595	0.5822528	0.0659288	0.9475372	1.0000000
50	0.0334431	0.9071799	0.9966355	0.0264347	0.6448941	0.7104010	0.2637247	0.0227476	0.9475372	1.0000000
100	0.0258529	0.9071498	0.9951210	0.0550681	0.7361577	0.6975475	0.1628240	0.0093839	0.9475372	1.0000000
150	0.0236461	0.9065882	0.9815724	0.1131705	0.7565399	0.6607328	0.1309102	0.0052481	0.9475372	1.0000000
200	0.0235528	0.9029009	0.9300288	0.1719119	0.7576557	0.6361177	0.1211731	0.0039682	0.9475372	1.0000000
250	0.0241421	0.8900766	0.8379364	0.2132496	0.7544237	0.6235069	0.1193595	0.0035721	0.9475372	1.0000000
300	0.0250765	0.8618232	0.7396099	0.2366774	0.7513717	0.6177975	0.1214633	0.0034495	0.9475372	1.0000000
350	0.0265328	0.8167197	0.6618190	0.2479432	0.7493993	0.6153692	0.1262348	0.0034115	0.9475372	1.0000000
400	0.0288933	0.7613741	0.6102978	0.2524228	0.7483156	0.6143702	0.1326661	0.0033998	0.9475372	1.0000000
450	0.0324719	0.7076153	0.5801777	0.2534870	0.7477731	0.6139672	0.1394251	0.0033962	0.9475372	1.0000000
500	0.0371720	0.6649739	0.5645781	0.2528490	0.7475174	0.6138069	0.1452562	0.0033950	0.9475372	1.0000000
550	0.0689187	0.6368404	0.5629984	0.2107570	0.3275427	0.1824873	0.4683585	0.0465759	0.9475372	1.0000000
600	0.1793165	0.6327585	0.6214736	0.1179761	0.1717123	0.2686572	0.5705628	0.0599395	0.9475372	1.0000000
650	0.2018776	0.6814415	0.7487051	0.0602922	0.1440380	0.3465880	0.5970402	0.0640752	0.9475372	1.0000000
700	0.1401590	0.7636516	0.8638399	0.0361959	0.1617609	0.3851633	0.5973016	0.0653552	0.9475372	1.0000000
750	0.0880740	0.8302215	0.9323259	0.0272198	0.1838866	0.4022250	0.5920442	0.0657513	0.9475372	1.0000000
800	0.0617717	0.8691368	0.9668319	0.0240450	0.1992060	0.4094847	0.5877071	0.0658739	0.9475372	1.0000000
850	0.0502716	0.8890357	0.9831640	0.0230153	0.2078647	0.4125038	0.5850739	0.0659118	0.9475372	1.0000000
900	0.0453421	0.8986885	0.9906807	0.0227576	0.2122705	0.4137371	0.5836498	0.0659235	0.9475372	1.0000000
950	0.0431937	0.9032663	0.9940775	0.0227543	0.2143725	0.4142334	0.5829233	0.0659272	0.9475372	1.0000000
1000	0.0422400	0.9054076	0.9955859	0.0228142	0.2153325	0.4144308	0.5825658	0.0659283	0.9475372	1.0000000

0	0.0414713	0.9071659	0.9966640	0.0229901	0.2160830	0.4145595	0.5822528	0.0659288	0.9475372	1.0000000
50	0.0319766	0.8874293	0.6865166	0.0230752	0.2819732	0.8242792	0.4435457	0.0659288	0.9475372	1.0000000
100	0.0242421	0.8064215	0.5509813	0.0243730	0.3891439	0.8638955	0.4076530	0.0659288	0.9475372	1.0000000
150	0.0232090	0.6878672	0.4916172	0.0289325	0.4455075	0.8677261	0.4077403	0.0659288	0.9475372	1.0000000
200	0.0262252	0.5821691	0.4651983	0.0369812	0.4678238	0.8680965	0.4182623	0.0659288	0.9475372	1.0000000
250	0.0328301	0.5120082	0.4526306	0.0459837	0.4758678	0.8681323	0.4287298	0.0659288	0.9475372	1.0000000
300	0.0418350	0.4718343	0.4456228	0.0534608	0.4786670	0.8681357	0.4361932	0.0659288	0.9475372	1.0000000
350	0.0508108	0.4495845	0.4409199	0.0585744	0.4796277	0.8681361	0.4409352	0.0659288	0.9475372	1.0000000
400	0.0580389	0.4365733	0.4374852	0.0616369	0.4799555	0.8681361	0.4439232	0.0659288	0.9475372	1.0000000
450	0.0632836	0.4282766	0.4350249	0.0633009	0.4800672	0.8681361	0.4458859	0.0659288	0.9475372	1.0000000
500	0.0670001	0.4226884	0.4333694	0.0641360	0.4801052	0.8681361	0.4472227	0.0659288	0.9475372	1.0000000
550	0.0845884	0.5130922	0.7333591	0.0636717	0.4262533	0.4584153	0.5744301	0.0659288	0.9475372	1.0000000
600	0.0872087	0.6979694	0.8652510	0.0559444	0.3226668	0.4187987	0.5932620	0.0659288	0.9475372	1.0000000
650	0.0676160	0.8104782	0.9271524	0.0434295	0.2592960	0.4149682	0.5912483	0.0659288	0.9475372	1.0000000
700	0.0539071	0.8625096	0.9595643	0.0336875	0.2319652	0.4145978	0.5876611	0.0659288	0.9475372	1.0000000
750	0.0472400	0.8858047	0.9772820	0.0281503	0.2216689	0.4145620	0.5852363	0.0659288	0.9475372	1.0000000
800	0.0442113	0.8966351	0.9867809	0.0253958	0.2180055	0.4145585	0.5838425	0.0659288	0.9475372	1.0000000
850	0.0428128	0.9018975	0.9917215	0.0240967	0.2167344	0.4145582	0.5830833	0.0659288	0.9475372	1.0000000
900	0.0421418	0.9045273	0.9942321	0.0234949	0.2162983	0.4145581	0.5826797	0.0659288	0.9475372	1.0000000
950	0.0418088	0.9058561	0.9954877	0.0232170	0.2161495	0.4145581	0.5824686	0.0659288	0.9475372	1.0000000
1000	0.0416404	0.9065277	0.9961086	0.0230884	0.2160988	0.4145581	0.5823595	0.0659288	0.9475372	1.0000000

0	0.0414713	0.9071659	0.9966640	0.0229901	0.2160830	0.4145595	0.5822528	0.0659288	0.9475372	1.0000000
50	0.0131948	0.9069837	0.9842891	0.1349490	0.3323774	0.7762012	0.5549066	0.0659288	0.9475372	1.0000000
100	0.0050132	0.9028736	0.9174768	0.1759432	0.4289347	0.8111688	0.5466661	0.0659288	0.9475372	1.0000000
150	0.0029630	0.8876374	0.8294201	0.1952224	0.4768085	0.8145498	0.5455753	0.0659288	0.9475372	1.0000000
200	0.0025538	0.8598122	0.7564585	0.2087620	0.4955956	0.8148767	0.5478195	0.0659288	0.9475372	1.0000000
250	0.0026657	0.8239034	0.7026877	0.2194878	0.5023609	0.8149083	0.5516861	0.0659288	0.9475372	1.0000000
300	0.0030249	0.7858767	0.6635770	0.2272561	0.5047160	0.8149114	0.5561440	0.0659288	0.9475372	1.0000000
350	0.0035449	0.7502640	0.6355109	0.2322762	0.5055246	0.8149117	0.5605476	0.0659288	0.9475372	1.0000000
400	0.0041697	0.7197388	0.6160735	0.2352407	0.5058006	0.8149117	0.5645027	0.0659288	0.9475372	1.0000000
450	0.0048381	0.6954939	0.6032296	0.2368802	0.5058946	0.8149117	0.5677872	0.0659288	0.9475372	1.0000000
500	0.0054822	0.6775512	0.5951377	0.2377442	0.5059265	0.8149117	0.5703228	0.0659288	0.9475372	1.0000000
550	0.0292867	0.6684559	0.6276888	0.1293357	0.4121482	0.4532689	0.5991445	0.0659288	0.9475372	1.0000000
600	0.0491535	0.6973345	0.7362647	0.0795532	0.3119613	0.4183011	0.6048106	0.0659288	0.9475372	1.0000000
650	0.0603506	0.7631370	0.8440412	0.0512489	0.2545050	0.4149200	0.6000130	0.0659288	0.9475372	1.0000000
700	0.0580621	0.8240999	0.9162549	0.0361469	0.2301427	0.4145931	0.5934647	0.0659288	0.9475372	1.0000000
750	0.0518745	0.8633972	0.9566549	0.0288947	0.2210186	0.4145615	0.5885975	0.0659288	0.9475372	1.0000000
800	0.0471436	0.8850756	0.9773396	0.0256082	0.2177796	0.4145585	0.5856367	0.0659288	0.9475372	1.0000000
850	0.0443836	0.8962629	0.9874820	0.0241500	0.2166569	0.4145582	0.5839937	0.0659288	0.9475372	1.0000000
900	0.0429250	0.9018636	0.9923487	0.0235040	0.2162719	0.4145581	0.5831262	0.0659288	0.9475372	1.0000000
950	0.0421851	0.9046214	0.9946568	0.0232157	0.2161404	0.4145581	0.5826821	0.0659288	0.9475372	1.0000000
1000	0.0418171	0.9059635	0.9957440	0.0230858	0.2160957	0.4145581	0.5824598	0.0659288	0.9475372	1.0000000

0	0.0414713	0.9071659	0.9966640	0.0229901	0.2160830	0.4145595	0.5822528	0.0659288	0.9475372	1.0000000
50	0.0414698	0.9071795	0.9965841	0.0311707	0.8684384	0.4145587	0.2208547	0.0659288	0.9475372	1.0000000
100	0.0414697	0.9070771	0.9911540	0.1081477	0.9673948	0.4145583	0.1063309	0.0659288	0.9475372	1.0000000
150	0.0415049	0.9046052	0.9283307	0.2364245	0.9824056	0.4145582	0.0702903	0.0659288	0.9475372	1.0000000
200	0.0419314	0.8868230	0.7557815	0.3389050	0.9846826	0.4145582	0.0606672	0.0659288	0.9475372	1.0000000
250	0.0442400	0.8271655	0.5688459	0.4004133	0.9850280	0.4145581	0.0634228	0.0659288	0.9475372	1.0000000
300	0.0527937	0.7011510	0.4343868	0.4312178	0.9850804	0.4145581	0.0768453	0.0659288	0.9475372	1.0000000
350	0.0816547	0.5266757	0.3534818	0.4383434	0.9850884	0.4145581	0.1016297	0.0659288	0.9475372	1.0000000
400	0.1744285	0.3675727	0.3129371	0.4139233	0.9850896	0.4145581	0.1341477	0.0659288	0.9475372	1.0000000
450	0.3894620	0.2665008	0.3096234	0.3370468	0.9850898	0.4145581	0.1643038	0.0659288	0.9475372	1.0000000
500	0.6321653	0.2336905	0.3601492	0.2325972	0.9850898	0.4145581	0.1781041	0.0659288	0.9475372	1.0000000
550	0.7295103	0.2870358	0.4799622	0.1512155	0.3327256	0.4145581	0.5253876	0.0659288	0.9475372	1.0000000
600	0.5942853	0.4409422	0.6400078	0.0950161	0.2337678	0.4145581	0.6056576	0.0659288	0.9475372	1.0000000
650	0.3127670	0.6270993	0.7855474	0.0575763	0.2187568	0.4145581	0.6095194	0.0659288	0.9475372	1.0000000
700	0.1417883	0.7621187	0.8855016	0.0378704	0.2164798	0.4145581	0.5999525	0.0659288	0.9475372	1.0000000
750	0.0772556	0.8368690	0.9420020	0.0291416	0.2161344	0.4145581	0.5920448	0.0659288	0.9475372	1.0000000
800	0.0550518	0.8738264	0.9706988	0.0255116	0.2160820	0.4145581	0.5873191	0.0659288	0.9475372	1.0000000
850	0.0470379	0.8914379	0.9845535	0.0240261	0.2160741	0.4145581	0.5847852	0.0659288	0.9475372	1.0000000
900	0.0438922	0.8997672	0.9910819	0.0234165	0.2160728	0.4145581	0.5834915	0.0659288	0.9475372	1.0000000
950	0.0425626	0.9037046	0.9941181	0.0231636	0.2160727	0.4145581	0.5828484	0.0659288	0.9475372	1.0000000
1000	0.0419716	0.9055630	0.9955189	0.0230572	0.2160726	0.4145581	0.5825346	0.0659288	0.9475372	1.0000000

0	0.0414713	0.9071659	0.9966640	0.0229901	0.2160830	0.4145595	0.5822528	0.0659288	0.9475372	1.0000000
50	0.0309506	0.9197366	0.4613456	0.0248250	0.5287327	0.8666273	0.5864829	0.0227547	0.9475372	1.0000000
100	0.0230631	0.8051550	0.2274101	0.0393238	0.6381326	0.8966814	0.6141056	0.0093932	0.9475372	1.0000000
150	0.0229055	0.6237123	0.1249578	0.0737872	0.6777731	0.8878700	0.6956390	0.0052581	0.9475372	1.0000000
200	0.0286857	0.5227687	0.0792931	0.1159921	0.6898513	0.8800824	0.8159621	0.0039784	0.9475372	1.0000000
250	0.0379346	0.4886172	0.0575433	0.1507900	0.6926199	0.8759593	0.9082360	0.0035824	0.9475372	1.0000000
300	0.0453514	0.4788570	0.0460032	0.1730615	0.6927886	0.8740814	0.9570387	0.0034598	0.9475372	1.0000000
350	0.0491981	0.4761752	0.0394090	0.1849865	0.6924706	0.8732818	0.9792559	0.0034219	0.9475372	1.0000000
